episodes,mean 100 episode reward,prob_satisfiability,steps
10,-763.8,0.0,8999
20,-701.8,0.0,18999
30,-662.5,0.0,28999
40,-640.7,0.0,38999
50,-627.4,0.0,48999
60,-640.2,0.0,58999
70,-665.6,0.0,68999
80,-668.1,0.0,78999
90,-667.8,0.0,88999
100,-648.7,0.0,98999
110,-609.6,0.0,108999
120,-604.0,0.0,118999
130,-590.8,0.0,128999
140,-581.8,0.0,138999
150,-566.1,0.0,148999
160,-549.2,0.0,158999
170,-515.9,0.0,168999
180,-494.7,0.0,178999
190,-472.2,0.0,188999
200,-466.0,0.0,198999
210,-455.7,0.0,208999
220,-425.8,0.0,218999
