# {"t_start": 1621275676.086514, "env_id": "Fetch-M1-v0"} 
r,l,t
-356.831284,1000,98.845499
-859.468544,1000,141.350917
-599.381426,1000,169.966007
-596.806742,1000,202.162724
-804.457117,1000,234.596835
-558.839813,1000,266.959809
-577.559856,1000,299.639414
-557.456005,1000,331.704319
-776.020897,1000,361.003301
-715.115405,1000,857.016497
-466.01023,1000,881.155351
-391.752589,1000,905.230115
-516.873318,1000,933.145174
-468.487386,1000,963.168877
-187.201904,1000,993.370832
-555.756113,1000,1023.654865
-549.189838,1000,1056.146917
-362.185493,1000,1086.351054
-334.404093,1000,1118.206375
-386.13853,1000,1697.860732
-287.016691,1000,1728.392312
-621.160221,1000,1755.040581
-135.287569,1000,1787.140902
-326.321007,1000,1818.373324
-416.128831,1000,1848.306117
-459.877463,1000,1877.270367
-338.015922,1000,1907.152013
-291.828518,1000,1937.228425
-420.098115,1000,1964.348886
-325.790021,1000,2460.20912
-308.800771,1000,2485.752325
-280.797995,1000,2511.854769
-240.542791,1000,2538.059399
-369.822536,1000,2562.617512
-156.727958,1000,2588.616347
-152.609265,1000,2617.770138
-231.429895,1000,2644.679537
-222.159397,1000,2672.750154
-289.271721,1000,2699.532998
-253.182457,1000,3217.397456
-458.749338,1000,3241.418377
-373.372709,1000,3267.46126
-149.015282,1000,3292.186496
-401.08109,1000,3317.077558
-461.737163,1000,3342.023185
-429.254244,1000,3366.769916
-360.987456,1000,3392.258681
-250.344961,1000,3417.770997
-343.38156,1000,3441.63756
-334.115422,1000,3999.519378
-353.218572,1000,4024.280503
-150.059842,1000,4046.810917
-605.974747,1000,4071.723613
-659.643858,1000,4096.360915
-167.7096,1000,4119.997948
-342.107203,1000,4144.517708
-322.349488,1000,4168.044051
-335.752839,1000,4190.071812
-235.025388,1000,4214.338969
-222.15723,1000,4831.515847
-348.074487,1000,4855.184375
-288.173018,1000,4878.890701
-106.463872,1000,4902.83685
-171.15396,1000,4927.567708
-115.720293,1000,4951.398055
-159.42432,1000,4976.026813
-87.217048,1000,5001.567943
-343.120782,1000,5028.799697
-80.752074,1000,5056.201478
-127.449185,1000,5659.549383
-289.170385,1000,5683.152746
-312.090232,1000,5708.995204
-103.116353,1000,5734.231505
-92.563718,1000,5762.194869
-286.045632,1000,5789.783568
-196.294003,1000,5816.977282
-323.970552,1000,5845.434503
-262.331263,1000,5873.473069
-210.341984,1000,5899.674073
-547.239639,1000,6459.437568
-529.595757,1000,6483.879225
-341.050885,1000,6508.355636
-446.537895,1000,6533.147387
-326.065769,1000,6559.251893
-338.982271,1000,6585.708792
-56.890645,1000,6613.237038
-322.934886,1000,6639.837713
-422.393082,1000,6666.185205
-327.309561,1000,6692.596451
-270.624188,1000,7227.008336
-306.555165,1000,7252.297275
-367.292208,1000,7278.32981
-319.248454,1000,7304.821764
-428.689815,1000,7332.797845
-469.297714,1000,7360.346886
-103.440641,1000,7386.760444
-498.928953,1000,7412.246073
-469.427288,1000,7438.159615
-276.809095,1000,7463.050793
-381.093638,1000,7992.499897
-73.144388,1000,8019.230712
-424.414393,1000,8045.487655
-537.906862,1000,8073.404848
-300.475535,1000,8101.059917
-224.776411,1000,8131.104951
-280.345658,1000,8157.763005
-430.198307,1000,8185.02459
-642.365673,1000,8207.892052
-458.663319,1000,8230.464799
-449.829625,1000,8772.395527
-489.809171,1000,8800.565717
-585.63479,1000,8827.765126
-956.084309,1000,8853.477355
-478.809565,1000,8879.220945
-600.03045,1000,8903.952351
-528.911754,1000,8928.055789
-563.070541,1000,8951.527173
-503.000521,1000,8975.031994
-521.157056,1000,8997.686114
-394.168314,1000,9534.661272
-477.139357,1000,9562.133906
-418.844651,1000,9586.666206
-282.639719,1000,9611.12849
-326.634379,1000,9637.356491
-543.214398,1000,9663.03367
-446.975867,1000,9688.732704
-233.631007,1000,9713.395046
-234.431777,1000,9739.020659
-281.369371,1000,9761.785235
-209.814003,1000,10292.42096
-695.175641,1000,10316.623159
-365.01093,1000,10341.218378
-355.347657,1000,10366.483155
-413.751589,1000,10390.806707
-116.708202,1000,10417.708043
-692.388698,1000,10440.228337
-597.881463,1000,10464.744869
-606.372811,1000,10489.32512
-715.356798,1000,10514.075981
-573.522085,1000,11059.847003
-569.63025,1000,11086.197797
-697.425587,1000,11112.032257
-615.998492,1000,11135.637711
-137.545115,1000,11161.163754
-580.815764,1000,11185.151823
-402.350586,1000,11211.872657
-583.22538,1000,11239.012399
-342.533881,1000,11265.387028
-373.652213,1000,11292.447379
