episodes,mean 100 episode reward,prob_satisfiability,steps
10,-917.1,0.0,8999
20,-965.2,0.0,18999
30,-987.8,0.0,28999
40,-1022.3,0.0,38999
50,-1022.3,0.0,48999
60,-1020.3,0.0,58999
70,-1028.7,0.0,68999
80,-1025.5,0.0,78999
90,-1030.9,0.0,88999
100,-1022.3,0.0,98999
110,-1029.4,0.0,108999
120,-1023.7,0.0,118999
130,-987.7,0.0,128999
140,-951.3,0.0,138999
150,-952.2,0.0,148999
160,-954.4,0.0,158999
170,-944.9,0.0,168999
180,-935.2,0.0,178999
190,-920.0,0.0,188999
200,-909.1,0.0,198999
210,-894.1,0.0,208999
220,-877.4,0.0,218999
