episodes,mean 100 episode reward,prob_satisfiability,steps
10,-812.3,0.0,8999
20,-693.4,0.0,18999
30,-587.1,0.0,28999
40,-501.3,0.0,38999
50,-466.3,0.0,48999
60,-447.0,0.0,58999
70,-468.7,0.0,68999
80,-470.8,0.0,78999
90,-453.8,0.0,88999
100,-434.0,0.0,98999
110,-381.8,0.0,108999
120,-355.0,0.0,118999
130,-358.5,0.0,128999
140,-378.3,0.0,138999
150,-410.7,0.0,148999
160,-435.3,0.0,158999
170,-442.3,0.0,168999
180,-460.4,0.0,178999
190,-492.8,0.0,188999
200,-529.9,0.0,198999
210,-567.5,0.0,208999
220,-600.4,0.0,218999
230,-627.8,0.0,228999
240,-643.4,0.0,238999
250,-644.7,0.0,248999
260,-645.1,0.0,258999
270,-634.8,0.0,268999
280,-627.2,0.0,278999
290,-623.9,0.0,288999
300,-615.6,0.0,298999
310,-609.2,0.0,308999
320,-603.6,0.0,318999
330,-591.7,0.0,328999
340,-589.0,0.0,338999
350,-582.9,0.0,348999
360,-578.2,0.0,358999
370,-593.9,0.0,368999
380,-654.8,0.0,378999
390,-695.0,0.0,388999
400,-738.7,0.0,398999
410,-782.7,0.0,408999
420,-833.5,0.0,418999
