# {"t_start": 1621275653.7287836, "env_id": "Fetch-M3-v0"} 
r,l,t
-880.224218,1000,94.309825
-755.755112,1000,128.769266
-1023.359195,1000,165.236749
-1140.754046,1000,201.708157
-1139.22455,1000,238.886092
-1042.73027,1000,276.355772
-961.04108,1000,313.093031
-1114.650177,1000,351.754118
-1315.367619,1000,384.85158
-1177.043698,1000,984.286698
-1021.227496,1000,1020.767706
-1123.833229,1000,1055.488346
-1032.661064,1000,1087.613594
-1116.403446,1000,1120.771623
-1178.818431,1000,1153.579561
-1264.304197,1000,1184.425951
-1293.801999,1000,1213.618757
-1026.05071,1000,1242.588715
-1157.086295,1000,1269.399494
-1078.783355,1000,1819.533781
-1083.238605,1000,1850.774239
-778.138312,1000,1882.218938
-746.067356,1000,1913.220399
-596.98796,1000,1941.591712
-641.487857,1000,1971.167518
-574.124519,1000,2000.89909
-448.487155,1000,2028.316211
-701.802949,1000,2054.676825
-740.330708,1000,2080.724723
-666.185093,1000,2594.237775
-492.155169,1000,2622.779513
-472.434812,1000,2650.041673
-471.510893,1000,2677.612271
-636.660287,1000,2706.134761
-717.351348,1000,2733.974969
-738.509719,1000,2763.655052
-585.784727,1000,2792.643709
-698.397114,1000,2820.441755
-962.008232,1000,2849.344402
-770.647795,1000,3385.739833
-647.482489,1000,3412.873133
-597.981688,1000,3441.815491
-508.381238,1000,3468.126241
-257.269486,1000,3496.807233
-463.507748,1000,3528.184423
-552.14989,1000,3554.974791
-579.852105,1000,3583.802065
-204.879545,1000,3611.086866
-251.045632,1000,3638.459287
-277.66335,1000,4240.665314
-166.799203,1000,4266.597513
-109.556822,1000,4292.742797
-424.371594,1000,4318.737974
-113.390448,1000,4345.179745
-270.810202,1000,4373.214285
-521.111233,1000,4399.220049
-305.578154,1000,4425.355624
-337.399881,1000,4452.312502
-239.692193,1000,4479.424163
-300.819047,1000,5082.518423
-526.205871,1000,5108.597308
-278.963041,1000,5137.367247
-457.549983,1000,5165.275524
-235.53712,1000,5192.663422
-430.036136,1000,5220.074498
-356.899348,1000,5247.454535
-544.443265,1000,5273.920182
-473.959427,1000,5300.723419
-636.430243,1000,5329.032611
-605.608844,1000,5891.532598
-323.66587,1000,5919.630031
-1346.748333,1000,5948.343407
-181.751549,1000,5975.153657
-463.319682,1000,6001.142334
-557.108898,1000,6029.916286
-1234.583792,1000,6056.209915
-231.042569,1000,6084.087131
-1062.368471,1000,6109.40424
-331.489203,1000,6134.406855
-239.684176,1000,6732.217643
-517.477659,1000,6757.855848
-381.444941,1000,6784.853853
-373.562736,1000,6812.131339
-269.334803,1000,6835.26375
-1048.712124,1000,6858.744646
-494.242423,1000,6887.144157
-476.194168,1000,6911.588174
-1281.604262,1000,6936.614496
-1065.723673,1000,6961.05164
-589.611066,1000,7492.813327
-314.94633,1000,7521.313962
-1142.344551,1000,7548.133548
-315.732918,1000,7572.139762
-205.601863,1000,7597.200572
-301.347533,1000,7621.396328
-484.948361,1000,7648.088648
-625.908019,1000,7673.362946
-1112.283837,1000,7699.338293
-1471.653602,1000,7726.733927
-1137.059141,1000,8368.246397
-749.14619,1000,8393.904737
-1049.170428,1000,8418.856839
-1271.792914,1000,8444.427181
-406.471463,1000,8469.021785
-1131.293394,1000,8495.712913
-591.647551,1000,8519.389576
-847.12342,1000,8548.291449
-593.409697,1000,8572.836601
-254.138292,1000,8599.105628
-346.10511,1000,9194.970633
-330.606977,1000,9219.990147
-565.71413,1000,9242.87306
-538.473916,1000,9266.459719
-596.069836,1000,9288.670228
-458.28717,1000,9312.413572
-659.537105,1000,9336.88632
-62.538176,1000,9361.732791
-1151.067335,1000,9389.89721
-982.579974,1000,9422.722894
-1220.150049,1000,10015.531702
-1173.949682,1000,10040.419029
-1312.244519,1000,10065.820448
-1245.361953,1000,10090.253401
-1114.294782,1000,10115.115422
-1198.016739,1000,10141.895505
-1278.906709,1000,10168.12848
-966.577551,1000,10195.376047
-1250.926884,1000,10222.433292
-563.10883,1000,10249.19052
-1009.412331,1000,10850.070071
-1258.537745,1000,10875.246361
-980.31236,1000,10902.434511
-1103.20549,1000,10930.368297
-1238.952474,1000,10959.231092
-1136.05678,1000,10988.260671
-334.253288,1000,11016.00438
