episodes,mean 100 episode reward,prob_satisfiability,steps
10,-807.8,0.0,8999
20,-757.4,0.0,18999
30,-749.3,0.0,28999
40,-734.4,0.0,38999
50,-723.7,0.0,48999
60,-707.3,0.0,58999
70,-700.1,0.0,68999
80,-702.0,0.0,78999
90,-702.2,0.0,88999
100,-700.5,0.0,98999
110,-688.7,0.0,108999
120,-682.8,0.0,118999
130,-682.2,0.0,128999
140,-677.1,0.0,138999
150,-678.6,0.0,148999
160,-683.1,0.0,158999
170,-683.9,0.0,168999
180,-680.7,0.0,178999
190,-676.2,0.0,188999
200,-674.0,0.0,198999
210,-675.2,0.0,208999
220,-673.5,0.0,218999
