episodes,mean 100 episode reward,prob_satisfiability,steps
10,-745.3,0.0,8999
20,-677.4,0.0,18999
30,-683.8,0.0,28999
40,-669.2,0.0,38999
50,-650.9,0.0,48999
60,-649.1,0.0,58999
70,-657.6,0.0,68999
80,-661.3,0.0,78999
90,-661.4,0.0,88999
100,-690.8,0.0,98999
110,-713.2,0.0,108999
120,-752.4,0.0,118999
130,-764.7,0.0,128999
140,-768.1,0.0,138999
150,-773.9,0.0,148999
160,-771.7,0.0,158999
170,-775.2,0.0,168999
180,-786.7,0.0,178999
190,-819.4,0.0,188999
200,-826.6,0.0,198999
210,-822.9,0.0,208999
220,-779.9,0.0,218999
