# {"t_start": 1621263908.5549772, "env_id": "Fetch-M1-v0"} 
r,l,t
-840.140779,1000,17.012989
-1294.345558,1000,30.88762
-659.798733,1000,91.546236
-555.501815,1000,105.181951
-1093.842517,1000,165.683413
-1183.550741,1000,179.021468
-333.545221,1000,243.941297
-732.621124,1000,258.955611
-705.362711,1000,316.331322
-807.595572,1000,329.672992
-572.756685,1000,390.239911
-963.499686,1000,404.568241
-560.296748,1000,465.439533
-730.970133,1000,478.367624
-687.398941,1000,538.715787
-709.117324,1000,551.835306
-753.376692,1000,611.476608
-818.467276,1000,624.350636
-681.753991,1000,682.44927
-743.071312,1000,696.567698
-629.181647,1000,754.959142
-647.26438,1000,768.208081
-136.27965,1000,828.21066
-766.494459,1000,842.786234
-545.903747,1000,903.620783
-752.896284,1000,917.425197
-757.75214,1000,976.131122
-151.305594,1000,990.003968
-700.463357,1000,1049.600947
-652.78864,1000,1062.255363
-724.07001,1000,1120.41126
-706.376621,1000,1136.110085
-545.217876,1000,1193.981768
-753.455727,1000,1208.800884
-783.58268,1000,1268.391778
-763.423994,1000,1281.345872
-599.973821,1000,1340.203177
-677.808686,1000,1355.500553
-763.82602,1000,1412.259573
-511.362359,1000,1425.101587
-286.203663,1000,1483.531181
-601.560468,1000,1496.452412
-306.901018,1000,1558.181724
-418.142135,1000,1572.206003
-249.244005,1000,1633.338815
-227.167096,1000,1647.245396
-355.67298,1000,1706.949472
-378.802853,1000,1721.794725
-196.425234,1000,1786.485059
-91.314492,1000,1800.816819
-177.17342,1000,1863.152761
-305.146884,1000,1877.534954
-704.124126,1000,1936.530963
-528.315202,1000,1951.697804
-167.250077,1000,2017.988398
-320.936733,1000,2032.806381
-343.618657,1000,2092.57273
-364.774902,1000,2105.749699
-168.510452,1000,2168.827827
-520.782797,1000,2181.696648
-241.720271,1000,2244.149489
-249.542576,1000,2256.529205
-325.550372,1000,2316.690503
-113.918706,1000,2329.510533
-552.254807,1000,2391.832833
-180.163498,1000,2406.723584
-164.63339,1000,2468.865875
-265.652163,1000,2481.876628
-278.909818,1000,2543.672375
-269.412403,1000,2558.369192
-232.271779,1000,2619.601832
-365.451968,1000,2633.772203
-530.475816,1000,2696.892401
-280.048381,1000,2711.499344
-614.255193,1000,2769.580441
-329.156842,1000,2785.194015
-431.328476,1000,2843.761869
-552.761631,1000,2858.258917
-170.585408,1000,2924.439535
-309.164834,1000,2938.368824
-273.190552,1000,2999.492701
-557.027621,1000,3013.500184
-446.40061,1000,3070.199008
-94.408448,1000,3083.051881
-140.250311,1000,3145.49314
-326.76927,1000,3157.844194
-553.004297,1000,3220.730886
-278.715071,1000,3235.088093
-234.224462,1000,3299.845318
-244.376844,1000,3313.777881
-132.290001,1000,3376.77752
-301.809492,1000,3391.061216
-607.065823,1000,3452.811364
-360.135618,1000,3467.060661
-316.066097,1000,3531.287304
-558.493952,1000,3549.003085
-549.529158,1000,3618.000625
-206.887482,1000,3634.660133
-214.965241,1000,3706.808051
-512.909459,1000,3721.414816
-144.152142,1000,3796.096715
-89.731219,1000,3812.417324
-84.542126,1000,3885.188083
-219.795046,1000,3898.24875
-118.527292,1000,3972.405308
-149.495026,1000,3987.792241
-228.20708,1000,4061.01901
-609.793218,1000,4076.919229
-321.842286,1000,4143.573235
-62.813985,1000,4159.677283
-149.240311,1000,4228.850179
-118.100536,1000,4245.120708
-76.858297,1000,4317.637349
-138.265808,1000,4335.645216
-137.833429,1000,4405.364854
-177.128254,1000,4421.274695
-270.736645,1000,4488.910642
-95.441204,1000,4505.23944
