# {"t_start": 1621263913.9155507, "env_id": "Fetch-M1-v0"} 
r,l,t
-1178.68237,1000,15.856512
-929.158215,1000,30.761828
-748.193072,1000,91.087801
-717.275174,1000,104.087437
-906.023877,1000,163.593193
-1209.597994,1000,177.736933
-1237.576927,1000,238.284953
-1129.735716,1000,253.154895
-1227.576684,1000,315.640404
-1144.919427,1000,327.806826
-1310.058553,1000,385.595506
-958.858761,1000,398.514956
-670.011306,1000,459.7151
-1225.017116,1000,472.615741
-1298.736956,1000,534.300655
-1003.253408,1000,548.480904
-1084.869039,1000,611.199509
-724.067412,1000,625.028418
-1106.982161,1000,684.336436
-793.171504,1000,698.058803
-744.971122,1000,755.856738
-934.397981,1000,768.851577
-763.916611,1000,827.941252
-773.878712,1000,840.580275
-694.867008,1000,900.527071
-698.656572,1000,915.315266
-723.992911,1000,973.385236
-770.460588,1000,988.046448
-520.789221,1000,1046.285931
-595.910717,1000,1060.321553
-702.087354,1000,1119.920489
-755.291872,1000,1134.659477
-732.292402,1000,1194.080569
-726.903771,1000,1207.457301
-708.534791,1000,1267.976775
-725.454222,1000,1281.280995
-766.192458,1000,1342.61487
-772.621107,1000,1356.637019
-730.937959,1000,1416.089664
-692.587496,1000,1431.050015
-152.576711,1000,1486.149177
-511.703864,1000,1499.3955
-145.892139,1000,1555.89677
-574.049448,1000,1569.64299
-586.588044,1000,1629.163347
-699.212612,1000,1644.062308
-718.217891,1000,1704.112193
-766.910496,1000,1717.975639
-769.660228,1000,1778.508404
-668.13892,1000,1792.293142
-583.129828,1000,1851.447084
-572.253955,1000,1864.156703
-755.776882,1000,1920.680656
-593.40836,1000,1934.622386
-593.167272,1000,1996.201372
-759.145199,1000,2009.133848
-754.211309,1000,2071.011101
-744.301979,1000,2084.73383
-566.138225,1000,2142.361153
-725.028996,1000,2156.327236
-549.208859,1000,2213.69811
-740.46534,1000,2226.193225
-747.556335,1000,2282.821489
-930.748656,1000,2294.745663
-734.550888,1000,2353.155878
-709.21751,1000,2366.477789
-708.172241,1000,2424.073175
-565.982471,1000,2437.050943
-762.870201,1000,2498.791548
-647.783601,1000,2512.660617
-99.782682,1000,2571.353118
-174.91324,1000,2585.012661
-762.155495,1000,2643.858958
-571.62405,1000,2658.806072
-584.444976,1000,2722.051333
-736.263032,1000,2736.797788
-701.074095,1000,2798.818123
-795.481578,1000,2812.368275
-684.921051,1000,2874.501798
-769.404855,1000,2887.518388
-569.296784,1000,2945.721678
-758.916831,1000,2958.446433
-734.262641,1000,3017.69627
-708.592315,1000,3032.508113
-625.246574,1000,3091.961627
-634.958339,1000,3105.814401
-665.592576,1000,3166.524891
-765.516475,1000,3180.772341
-143.209637,1000,3238.545832
-657.109336,1000,3251.669915
-704.361581,1000,3317.196378
-662.599509,1000,3332.058921
-771.399247,1000,3394.321647
-738.973558,1000,3406.665299
-509.302026,1000,3466.403514
-598.612863,1000,3480.895391
-627.187722,1000,3550.716438
-664.691815,1000,3565.676764
-757.007869,1000,3635.835437
-726.002924,1000,3650.574733
-721.117258,1000,3719.762802
-556.629556,1000,3736.986278
-733.768858,1000,3804.032145
-709.697172,1000,3820.366956
-769.533428,1000,3886.762039
-733.263679,1000,3904.947531
-661.492141,1000,3974.539133
-759.877883,1000,3991.099392
-567.128235,1000,4058.870987
-759.717868,1000,4074.282112
-622.070031,1000,4146.158529
-659.691249,1000,4163.574248
-682.087867,1000,4227.388259
-575.462161,1000,4242.880246
-572.088702,1000,4315.04047
-571.368328,1000,4329.748772
-532.866238,1000,4399.279789
-556.189287,1000,4414.975094
-744.712839,1000,4482.646009
-250.078278,1000,4498.614901
-749.538084,1000,4566.316206
-557.033812,1000,4582.029207
-718.927762,1000,4649.222528
-594.30151,1000,4664.149622
-672.956281,1000,4730.33268
-616.735619,1000,4745.194042
-563.337676,1000,4813.354127
-720.324545,1000,4827.216624
-757.794559,1000,4899.544023
-762.970042,1000,4914.13408
-564.85723,1000,4977.388862
-490.270725,1000,4992.83205
-571.004184,1000,5063.160331
-795.603009,1000,5078.416867
-627.198419,1000,5143.840979
-599.395546,1000,5160.74767
-696.766107,1000,5227.686722
-781.08066,1000,5242.279107
-687.974142,1000,5314.507764
-713.731578,1000,5329.539814
-748.438923,1000,5394.277477
-636.949482,1000,5410.623274
-611.179955,1000,5481.442648
-788.245562,1000,5496.773123
-780.388845,1000,5566.079706
-750.647073,1000,5582.052709
-566.188889,1000,5648.835734
-148.293823,1000,5662.821988
-569.80413,1000,5731.825693
-715.898421,1000,5747.169298
-772.02177,1000,5811.257486
-557.23437,1000,5826.929913
-756.500096,1000,5894.056225
-696.666553,1000,5910.06924
-150.507112,1000,5983.962554
-734.221349,1000,5998.52389
-572.191948,1000,6068.758872
-554.253401,1000,6082.622549
-549.942912,1000,6150.396128
-549.568439,1000,6164.889234
-585.47654,1000,6235.06675
-720.71054,1000,6251.362761
-567.908858,1000,6319.876237
-717.767899,1000,6336.17238
-577.456574,1000,6403.681693
-659.435823,1000,6419.376975
-470.023298,1000,6488.226904
-738.906428,1000,6502.438844
-729.041727,1000,6569.771978
-576.19276,1000,6584.58402
-757.018814,1000,6647.413731
-672.477138,1000,6663.596978
-565.922564,1000,6730.921984
-592.047711,1000,6747.068894
-149.612396,1000,6813.601735
-662.40122,1000,6828.563419
-584.032574,1000,6896.307717
-752.741149,1000,6914.151112
-570.485172,1000,6979.635571
-104.332209,1000,6994.748519
-767.817805,1000,7063.956804
-772.384616,1000,7079.805054
-102.62637,1000,7147.066377
-634.063481,1000,7163.612575
-759.008522,1000,7234.968959
-717.144083,1000,7248.14267
-543.507882,1000,7314.52958
-680.786381,1000,7328.958097
-572.325025,1000,7396.497341
-622.81548,1000,7412.002283
-626.892953,1000,7475.419896
-784.130006,1000,7492.057917
-111.042679,1000,7554.577704
-363.085334,1000,7568.455316
-593.639787,1000,7633.700314
-619.345945,1000,7647.341313
-589.881691,1000,7710.524789
-741.654004,1000,7724.923778
-773.62476,1000,7788.830509
-758.22804,1000,7803.331331
-554.839388,1000,7864.789284
-729.204208,1000,7879.92855
-607.46516,1000,7941.724248
-243.428159,1000,7955.755468
-692.612952,1000,8018.926585
-559.414741,1000,8032.606112
-636.405108,1000,8090.263663
-153.017086,1000,8105.903361
-556.992211,1000,8166.369004
-652.2156,1000,8180.465067
-771.008852,1000,8240.19014
-683.358983,1000,8252.288474
-667.75485,1000,8311.795667
-150.362951,1000,8325.75192
-470.83413,1000,8387.697355
-768.182001,1000,8400.672965
-767.113595,1000,8459.785345
-648.397678,1000,8474.665846
-534.737953,1000,8531.684837
-655.628264,1000,8545.729227
