param_noise_stddev,prob_satisfiability,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.17056425244126316,0.0,-2.8323991298675537,2.6971116065979004,-0.5363369584083557,0.7919527292251587,-2.715716600418091,2.632498264312744,-0.336212694644928,0.6234674453735352,-3.3016586303710938,-0.4208032190799713,0.49289339780807495,1000.0,2.0,-1132.297119140625,-1132.297119140625,27.0369873046875,27.0369873046875,30.916640996932983,2.0,1,2000,64.69008066556796,2.7402162551879883,0.05149684101343155,0.4395448863506317
0.16067924131698763,0.0,-4.883142471313477,4.398392200469971,-0.5686905980110168,0.7388828992843628,-4.88076114654541,4.338077068328857,-0.5073046684265137,0.8277290463447571,-4.329005718231201,-0.42761412262916565,0.6285163164138794,975.0,4.0,-817.8739013671875,-817.8739013671875,372.13580322265625,372.13580322265625,112.23912501335144,4.0,2,4000,35.638196569370784,3.997779130935669,0.046659719198942184,0.17402492463588715
0.15440959267203633,0.0,-6.388065338134766,5.910899639129639,-0.5039240121841431,0.8230290412902832,-6.341159820556641,5.863006591796875,-0.32502150535583496,0.8192940354347229,-6.032494068145752,-0.4520966112613678,0.7056481838226318,983.3333333333334,6.0,-796.1426391601562,-796.1426391601562,306.2433166503906,306.2433166503906,185.0089237689972,6.0,3,6000,32.4308680779724,5.2718586921691895,0.04921393468976021,0.7958970665931702
0.14259466822295333,0.0,-7.128767013549805,6.764106273651123,-0.5042536854743958,0.7414307594299316,-7.060587406158447,6.702698230743408,-0.6353974938392639,0.6256089210510254,-6.847468376159668,-0.4386284649372101,0.7375825047492981,987.5,8.0,-729.8338012695312,-729.8338012695312,289.4354553222656,289.4354553222656,257.9575822353363,8.0,4,8000,31.012850758934274,5.822145938873291,0.04898478463292122,0.6693845391273499
0.11921161154572088,0.0,-7.606235504150391,7.138012886047363,-0.5392358899116516,0.8048382997512817,-7.565003395080566,7.05851936340332,-0.5320575833320618,0.8193634152412415,-8.132977485656738,-0.4531349539756775,0.7591167092323303,990.0,10.0,-739.3746948242188,-739.3746948242188,259.58123779296875,259.58123779296875,333.1742284297943,10.0,5,10000,30.01432627946245,6.198953151702881,0.047550663352012634,0.1633531004190445
0.09769921704229322,0.0,-8.046557426452637,7.19152307510376,-0.5344926714897156,0.7109231352806091,-8.01404094696045,7.090763568878174,-0.5052629709243774,0.8590387105941772,-8.37083911895752,-0.45990467071533203,0.7770848274230957,991.6666666666666,12.0,-685.9107055664062,-685.9107055664062,275.62457275390625,275.62457275390625,410.2695755958557,12.0,6,12000,29.24906138255994,6.335508823394775,0.045313116163015366,0.3475904166698456
0.08167823703026889,0.0,-8.458203315734863,7.0329203605651855,-0.46014779806137085,0.8567278385162354,-8.477448463439941,6.893675804138184,-0.4878501892089844,0.8623830676078796,-9.203438758850098,-0.4615810215473175,0.7897932529449463,992.8571428571429,14.0,-695.1378173828125,-695.1378173828125,256.5979309082031,256.5979309082031,489.89414954185486,14.0,7,14000,28.577601943384483,6.532156944274902,0.04504084587097168,0.3582763373851776
0.07849118035809692,0.0,-9.217991828918457,6.599985122680664,-0.5000594258308411,0.8658891320228577,-9.264100074768066,6.459630012512207,-0.5001466870307922,0.8648520112037659,-9.21130084991455,-0.4250069260597229,0.8067779541015625,993.75,16.0,-668.6412353515625,-668.6412353515625,250.67236328125,250.67236328125,560.387574672699,16.0,8,16000,28.55166802965785,6.8743181228637695,0.04376501217484474,0.1956004500389099
0.07694459401832851,0.0,-9.281427383422852,6.72649621963501,-0.5003634691238403,0.865439772605896,-9.276200294494629,6.6247172355651855,-0.5001370310783386,0.8653205037117004,-9.658621788024902,-0.4328405261039734,0.8136948943138123,994.4444444444445,18.0,-652.7394409179688,-652.7394409179688,248.4169464111328,248.4169464111328,636.6573553085327,18.0,9,18000,28.272664801425183,7.354958534240723,0.04458053037524223,0.3651432991027832
0.0849947009834283,0.0,-9.254826545715332,6.960426330566406,-0.5006082653999329,0.8654109239578247,-9.235177040100098,6.887363433837891,-0.500700831413269,0.8653805255889893,-10.129637718200684,-0.4395560622215271,0.8193259239196777,995.0,20.0,-659.5389404296875,-659.5389404296875,236.85394287109375,236.85394287109375,709.2766952514648,20.0,10,20000,28.19774022451035,7.36918830871582,0.04751177132129669,0.08977174758911133
0.08670309447319521,0.0,-9.092524528503418,7.2251691818237305,-0.500744640827179,0.8653174042701721,-9.078513145446777,7.144424915313721,-0.5008257031440735,0.8653079867362976,-10.110137939453125,-0.4450509548187256,0.8238639831542969,995.4545454545455,22.0,-642.3226928710938,-642.3226928710938,241.57791137695312,241.57791137695312,783.9554569721222,22.0,11,22000,28.062818881280304,7.501802444458008,0.048443980515003204,0.35921990871429443
0.08167823703026889,0.0,-9.001550674438477,7.371423721313477,-0.2990818917751312,0.9159775376319885,-8.945616722106934,7.289565563201904,-0.3779730796813965,0.8916409611701965,-10.531907081604004,-0.4496297538280487,0.8275986909866333,995.8333333333334,24.0,-652.6245727539062,-652.6245727539062,233.81103515625,233.81103515625,854.7951216697693,24.0,12,24000,28.076903332248843,7.256086826324463,0.045892659574747086,0.23414961993694305
