episodes,mean 100 episode reward,prob_satisfiability,steps
10,-560.2,0.0,8999
20,-629.5,0.0,18999
30,-631.2,0.0,28999
40,-610.5,0.0,38999
50,-637.8,0.0,48999
60,-644.3,0.0,58999
70,-653.5,0.0,68999
80,-656.5,0.0,78999
90,-670.3,0.0,88999
100,-670.7,0.0,98999
110,-673.0,0.0,108999
120,-671.0,0.0,118999
130,-673.9,0.0,128999
140,-680.3,0.0,138999
150,-673.5,0.0,148999
160,-684.8,0.0,158999
170,-685.4,0.0,168999
180,-687.0,0.0,178999
190,-671.7,0.0,188999
200,-678.3,0.0,198999
210,-681.8,0.0,208999
220,-679.2,0.0,218999
