# {"t_start": 1621263910.3480973, "env_id": "Fetch-M2-v0"} 
r,l,t
-590.970274,1000,12.458266
-1001.422755,1000,23.728366
-980.644688,1000,80.441472
-423.032021,1000,91.783599
-1283.169832,1000,150.776219
-1065.039668,1000,161.892893
-1044.365759,1000,217.345897
-1048.137654,1000,229.043149
-899.006357,1000,285.121831
-1017.505969,1000,296.087928
-1087.726982,1000,349.334687
-813.569063,1000,365.629984
-868.377518,1000,418.831619
-1055.628523,1000,431.377422
-1047.004969,1000,484.91714
-1053.172132,1000,496.609831
-892.617201,1000,551.674585
-989.71335,1000,566.301901
-1075.973875,1000,617.396259
-850.991593,1000,630.33347
-1063.496561,1000,683.207508
-990.366377,1000,696.023742
-906.295269,1000,747.883907
-905.227571,1000,760.512951
-970.641263,1000,815.051637
-949.481684,1000,824.893991
-901.869984,1000,879.659238
-1041.844869,1000,890.415771
-939.822725,1000,943.250057
-896.834084,1000,953.511282
-843.057383,1000,1008.492768
-1159.64301,1000,1019.656318
-994.935519,1000,1076.438711
-1028.809533,1000,1088.82264
-1076.816562,1000,1141.260221
-757.518522,1000,1151.34128
-1099.487635,1000,1207.035358
-912.731717,1000,1217.666888
-1249.232364,1000,1277.008138
-994.526443,1000,1289.350753
-915.932818,1000,1342.427793
-1231.875173,1000,1353.99631
-972.525253,1000,1411.716897
-981.04975,1000,1423.541614
-1121.457248,1000,1480.806033
-941.11364,1000,1491.980149
-1148.002196,1000,1548.222423
-1089.569461,1000,1561.223459
-925.765215,1000,1616.087072
-1053.325043,1000,1628.857614
-991.196613,1000,1688.169524
-1059.870343,1000,1700.436146
-1043.507409,1000,1759.514055
-947.90541,1000,1772.981937
-728.491645,1000,1827.490679
-1047.656242,1000,1840.273166
-566.369037,1000,1897.805907
-599.579458,1000,1910.888904
-784.565384,1000,1964.699001
-515.730398,1000,1974.917155
-731.975504,1000,2036.961405
-546.106228,1000,2049.22769
-362.266113,1000,2108.254294
-699.495523,1000,2119.90738
-573.168083,1000,2173.453474
-980.219389,1000,2185.542925
-761.296658,1000,2241.60256
-510.420915,1000,2254.818545
-145.941217,1000,2311.190677
-738.17494,1000,2323.715581
-550.607517,1000,2378.934027
-678.49002,1000,2391.939749
-634.793052,1000,2447.95575
-632.310081,1000,2459.272402
-1036.521396,1000,2519.731764
-556.309599,1000,2529.908665
-747.075931,1000,2584.523846
-590.08564,1000,2597.678126
-679.230095,1000,2646.299595
-657.325388,1000,2659.089228
-244.592492,1000,2714.181429
-650.175055,1000,2726.700119
-600.021762,1000,2778.30989
-701.016715,1000,2789.420253
-717.4758,1000,2842.940415
-490.482455,1000,2853.63666
-698.531184,1000,2904.393575
-567.185705,1000,2915.995586
-581.346874,1000,2969.900406
