episodes,mean 100 episode reward,prob_satisfiability,steps
10,-671.4,0.0,8999
20,-690.6,0.0,18999
30,-655.7,0.0,28999
40,-620.5,0.0,38999
50,-601.9,0.0,48999
60,-614.7,0.0,58999
70,-611.6,0.0,68999
80,-614.2,0.0,78999
90,-620.1,0.0,88999
100,-626.5,0.0,98999
110,-622.4,0.0,108999
120,-613.6,0.0,118999
130,-620.8,0.0,128999
140,-632.0,0.0,138999
150,-637.3,0.0,148999
160,-628.6,0.0,158999
170,-629.0,0.0,168999
180,-602.5,0.0,178999
190,-573.6,0.0,188999
200,-550.1,0.0,198999
210,-528.4,0.0,208999
220,-498.4,0.0,218999
230,-479.7,0.0,228999
240,-450.1,0.0,238999
250,-429.2,0.0,248999
260,-413.7,0.0,258999
270,-392.8,0.0,268999
280,-426.0,0.0,278999
290,-446.7,0.0,288999
300,-454.0,0.0,298999
310,-476.8,0.0,308999
320,-494.0,0.0,318999
330,-498.6,0.0,328999
340,-515.8,0.0,338999
350,-531.2,0.0,348999
360,-546.3,0.0,358999
370,-558.4,0.0,368999
380,-542.5,0.0,378999
390,-540.7,0.0,388999
400,-551.3,0.0,398999
410,-565.3,0.0,408999
420,-594.5,0.0,418999
