episodes,mean 100 episode reward,prob_satisfiability,steps
10,-910.5,0.0,8999
20,-784.7,0.0,18999
30,-748.9,0.0,28999
40,-733.0,0.0,38999
50,-722.5,0.0,48999
60,-719.0,0.0,58999
70,-680.6,0.0,68999
80,-627.8,0.0,78999
90,-591.7,0.0,88999
100,-560.7,0.0,98999
110,-503.9,0.0,108999
120,-472.8,0.0,118999
130,-452.7,0.0,128999
140,-443.3,0.0,138999
150,-421.0,0.0,148999
160,-385.0,0.0,158999
170,-379.5,0.0,168999
180,-402.1,0.0,178999
190,-404.4,0.0,188999
200,-414.2,0.0,198999
210,-409.9,0.0,208999
220,-412.5,0.0,218999
