# {"t_start": 1621275654.1897326, "env_id": "Fetch-M3-v0"} 
r,l,t
-1114.643903,1000,99.832638
-631.509929,1000,133.561687
-571.231397,1000,169.221895
-779.741837,1000,207.919901
-532.348554,1000,246.172326
-557.982647,1000,284.891323
-718.388143,1000,320.492326
-714.276994,1000,359.627602
-773.453479,1000,393.442215
-746.665374,1000,985.728401
-552.938016,1000,1017.124823
-603.496513,1000,1048.645944
-765.374333,1000,1079.068312
-597.558576,1000,1109.04621
-678.757149,1000,1138.891547
-810.913536,1000,1169.187399
-903.06236,1000,1197.147552
-953.904676,1000,1224.054485
-923.296327,1000,1252.386121
-764.897956,1000,1701.92362
-772.276216,1000,1727.949429
-762.686554,1000,1754.993971
-725.198483,1000,1784.531294
-463.115581,1000,1814.748509
-541.613342,1000,1842.00935
-693.632605,1000,1870.90093
-467.317359,1000,1899.94917
-602.638153,1000,1928.271253
-391.243843,1000,1955.8382
-737.339103,1000,2503.10601
-596.427694,1000,2529.625994
-573.352482,1000,2556.551623
-575.903551,1000,2584.116993
-594.783752,1000,2614.192663
-683.605487,1000,2644.203604
-570.544214,1000,2671.365999
-529.166069,1000,2698.433672
-473.682368,1000,2724.310395
-559.576172,1000,2750.418061
-681.775326,1000,3216.414464
-503.579663,1000,3241.823048
-743.995568,1000,3264.851964
-780.540504,1000,3288.448331
-608.500738,1000,3313.133758
-574.946666,1000,3337.504474
-171.837234,1000,3364.147372
-603.563082,1000,3389.195723
-402.690324,1000,3413.765111
-281.446771,1000,3438.993163
-578.819008,1000,3948.337816
-565.015673,1000,3970.857644
-418.385482,1000,3995.026534
-390.947948,1000,4019.378912
-338.973573,1000,4043.511836
-520.429397,1000,4066.210724
-261.028274,1000,4091.65195
-189.578134,1000,4114.96896
-430.656792,1000,4138.222051
-517.928184,1000,4165.609792
-707.973984,1000,4782.208593
-1105.971794,1000,4809.569266
-405.253179,1000,4831.795431
-624.268244,1000,4854.633837
-551.068572,1000,4876.942655
-986.218534,1000,4900.43093
-1316.987554,1000,4925.217288
-1192.779529,1000,4948.532292
-1031.763251,1000,4973.627921
-1269.519918,1000,4999.11536
-1282.580651,1000,5646.893298
-1223.670571,1000,5672.201762
-1021.123814,1000,5701.17042
-1286.752749,1000,5726.999502
-257.38217,1000,5754.690021
-919.053963,1000,5781.003357
-667.330733,1000,5807.173732
-489.882663,1000,5833.405583
-392.235289,1000,5871.079223
-462.70643,1000,5900.453203
-101.284789,1000,6420.154015
-143.681984,1000,6447.17145
-1080.976441,1000,6472.710577
-548.641707,1000,6497.164375
