episodes,mean 100 episode reward,prob_satisfiability,steps
10,-874.2,0.0,8999
20,-840.4,0.0,18999
30,-782.5,0.0,28999
40,-764.2,0.0,38999
50,-752.8,0.0,48999
60,-764.8,0.0,58999
70,-742.4,0.0,68999
80,-722.7,0.0,78999
90,-728.2,0.0,88999
100,-749.9,0.0,98999
110,-729.0,0.0,108999
120,-713.4,0.0,118999
130,-686.6,0.0,128999
140,-642.5,0.0,138999
150,-620.2,0.0,148999
160,-575.2,0.0,158999
170,-571.8,0.0,168999
180,-553.7,0.0,178999
190,-515.3,0.0,188999
200,-471.8,0.0,198999
210,-467.0,0.0,208999
220,-448.5,0.0,218999
230,-444.1,0.0,228999
240,-460.2,0.0,238999
250,-446.5,0.0,248999
260,-454.1,0.0,258999
270,-424.5,0.0,268999
280,-419.1,0.0,278999
290,-407.5,0.0,288999
300,-399.9,0.0,298999
310,-373.0,0.0,308999
320,-362.7,0.0,318999
330,-376.3,0.0,328999
340,-358.6,0.0,338999
350,-363.3,0.0,348999
360,-350.1,0.0,358999
370,-351.8,0.0,368999
380,-354.8,0.0,378999
390,-357.6,0.0,388999
400,-348.6,0.0,398999
410,-350.3,0.0,408999
420,-349.3,0.0,418999
