# {"t_start": 1621275654.494723, "env_id": "Fetch-M2-v0"} 
r,l,t
-883.092978,1000,93.762789
-675.92473,1000,127.554168
-682.317648,1000,158.640368
-577.439932,1000,188.7523
-634.302676,1000,220.147469
-809.78798,1000,251.059021
-738.100977,1000,280.329304
-613.598885,1000,311.188982
-608.178691,1000,343.074005
-556.194165,1000,840.981694
-591.400251,1000,862.317943
-550.041934,1000,884.61497
-750.775791,1000,907.457881
-491.663642,1000,931.536545
-542.15746,1000,958.925876
-517.033204,1000,988.587941
-557.217505,1000,1017.722706
-613.172716,1000,1046.793527
-664.0987,1000,1075.304897
-756.03103,1000,1554.34819
-519.030291,1000,1574.739213
-560.771961,1000,1595.284907
-617.638339,1000,1615.769403
-517.078848,1000,1636.861245
-544.376265,1000,1659.955864
-545.891373,1000,1682.994463
-519.867106,1000,1706.392466
-534.727121,1000,1731.276101
-517.098599,1000,1755.752005
-514.081863,1000,2282.780147
-521.39656,1000,2302.56186
-545.779092,1000,2323.441324
-534.243369,1000,2344.875286
-525.358904,1000,2365.266958
-549.160571,1000,2387.224156
-525.619898,1000,2410.122396
-549.497222,1000,2432.500266
-527.456386,1000,2454.746552
-542.333327,1000,2478.592717
-552.05929,1000,3000.96147
-545.691942,1000,3021.412232
-526.20945,1000,3042.976333
-362.485325,1000,3063.678131
-571.937593,1000,3084.088527
-455.467861,1000,3105.328005
-406.167185,1000,3129.453622
-740.240396,1000,3153.148574
-426.441634,1000,3175.436205
-336.587042,1000,3197.746808
-504.822518,1000,3697.303228
-467.225652,1000,3719.858624
-482.781256,1000,3741.603385
-462.202396,1000,3762.136229
-411.137896,1000,3783.039827
-337.508357,1000,3803.752158
-454.749353,1000,3825.097726
-494.902387,1000,3846.056574
-330.764504,1000,3867.967783
-367.927081,1000,3889.373016
-506.483387,1000,4377.454354
-317.845018,1000,4399.392235
-275.996222,1000,4422.615779
-364.802965,1000,4446.985709
-342.211375,1000,4470.534429
-763.639855,1000,4491.717427
-380.411694,1000,4513.498785
-359.232183,1000,4535.047253
-527.147917,1000,4557.379276
-310.021027,1000,4578.542553
-569.239933,1000,5041.874112
-375.432957,1000,5065.497348
-317.307266,1000,5089.1767
-368.799152,1000,5113.565304
-466.187667,1000,5136.114095
-388.980316,1000,5159.06087
-400.670647,1000,5182.103596
-370.857356,1000,5206.070572
-450.28658,1000,5227.848171
-414.819381,1000,5250.787526
-323.226876,1000,5688.787093
-420.507148,1000,5709.256369
-378.11231,1000,5730.620201
-328.52139,1000,5751.523428
-315.796698,1000,5775.234144
-381.837826,1000,5797.701471
-353.733386,1000,5820.871057
-350.815556,1000,5844.45805
-351.754902,1000,5870.206085
-430.105047,1000,5894.967336
-384.430455,1000,6336.765951
-339.386339,1000,6357.572756
-331.473475,1000,6377.334292
-370.880422,1000,6396.359696
-390.272484,1000,6416.70479
-382.51388,1000,6437.543089
-258.20425,1000,6458.759367
-369.056968,1000,6479.622473
-325.932585,1000,6501.660298
-334.872756,1000,6523.326715
-372.906625,1000,6985.534663
-371.017488,1000,7006.546798
-350.085406,1000,7027.432045
-365.698845,1000,7047.657254
-358.726185,1000,7068.270797
-386.380645,1000,7090.936435
-274.633958,1000,7112.219475
-357.840552,1000,7133.309443
-363.374024,1000,7154.667356
-377.335479,1000,7176.167185
-352.845701,1000,7640.317084
-384.734364,1000,7661.992255
-359.663752,1000,7682.930956
-351.651544,1000,7705.429062
-315.642849,1000,7727.081364
-310.07116,1000,7746.206843
-349.799584,1000,7767.309592
-350.176369,1000,7789.869351
-385.569533,1000,7809.893179
-401.875133,1000,7829.613976
-318.354139,1000,8309.118932
-249.67689,1000,8329.52785
-304.576999,1000,8350.474874
-371.505313,1000,8372.436956
-327.874149,1000,8391.725841
-390.58029,1000,8411.741497
-324.61313,1000,8433.589251
-279.211965,1000,8454.750694
-327.199732,1000,8475.681382
-334.846675,1000,8496.540542
-422.353376,1000,8967.960095
-356.248517,1000,8990.896218
-363.068776,1000,9012.857156
-341.730871,1000,9036.029556
-264.888412,1000,9059.219509
-334.803081,1000,9080.7276
-389.326773,1000,9103.696117
-355.505142,1000,9126.146606
-332.711203,1000,9147.085455
-381.79411,1000,9170.491349
-374.004628,1000,9621.230238
-367.340562,1000,9645.776451
-351.455132,1000,9668.718758
-330.25089,1000,9692.686002
-341.513158,1000,9716.367734
-369.917128,1000,9740.448584
-380.801412,1000,9765.417722
-290.90983,1000,9791.444953
-364.565231,1000,9814.233563
-326.845487,1000,9835.778533
-240.987894,1000,10263.646656
-323.498146,1000,10288.457881
-235.652568,1000,10312.999079
-272.468938,1000,10337.125729
-333.772389,1000,10361.193512
-366.234267,1000,10385.802167
-215.188469,1000,10409.626179
-334.046551,1000,10433.98858
-280.002261,1000,10457.010503
-324.493158,1000,10480.411479
-344.423092,1000,10930.693735
-405.561292,1000,10954.838857
-353.055203,1000,10978.887711
-362.164178,1000,11002.731018
-382.770977,1000,11029.333954
-367.813976,1000,11053.285646
-337.918331,1000,11076.571484
-258.74686,1000,11101.432505
-352.598415,1000,11125.909646
-394.047983,1000,11149.001866
-211.194327,1000,11631.95102
-319.26162,1000,11658.763857
-401.77726,1000,11684.696783
-317.120905,1000,11711.895586
-217.826066,1000,11735.336838
-302.733882,1000,11758.579176
-326.291456,1000,11782.958909
-207.171708,1000,11806.784264
-273.043293,1000,11831.508267
-334.303279,1000,11856.122861
-275.134592,1000,12346.558836
-306.837546,1000,12371.411293
-339.526337,1000,12396.812731
-306.889032,1000,12422.14219
-257.091489,1000,12447.461816
-267.145103,1000,12474.395103
-293.833499,1000,12498.843091
-356.587741,1000,12522.278035
-251.219987,1000,12546.991953
-206.395448,1000,12572.192219
-197.296821,1000,13055.501698
-276.354527,1000,13079.895253
-212.704564,1000,13106.347135
-235.730889,1000,13130.426129
-178.489667,1000,13154.762438
-396.743292,1000,13180.761407
-346.653988,1000,13205.93842
-255.297929,1000,13231.607642
-283.486781,1000,13257.905533
-236.656683,1000,13283.605279
-361.828244,1000,13773.024385
-334.736221,1000,13796.891575
-269.552643,1000,13821.282073
-316.235588,1000,13844.818256
-205.975287,1000,13868.215288
-210.045182,1000,13891.104174
-290.059391,1000,13916.949266
-274.088574,1000,13942.088067
-313.986284,1000,13966.874912
-238.835814,1000,13993.158441
-242.105826,1000,14489.867144
-271.39614,1000,14516.673758
-288.60153,1000,14542.467978
-208.248987,1000,14568.61081
-349.17729,1000,14595.216039
-212.902751,1000,14620.032459
-220.98691,1000,14644.227273
-227.949672,1000,14667.236953
-215.468439,1000,14693.695024
-234.116613,1000,14717.689017
-160.736588,1000,15196.849985
