episodes,mean 100 episode reward,prob_satisfiability,steps
10,-691.4,0.0,8999
20,-634.6,0.0,18999
30,-610.0,0.0,28999
40,-590.4,0.0,38999
50,-570.4,0.0,48999
60,-546.8,0.0,58999
70,-527.7,0.0,68999
80,-513.1,0.0,78999
90,-496.2,0.0,88999
100,-481.3,0.0,98999
110,-450.1,0.0,108999
120,-427.4,0.0,118999
130,-403.3,0.0,128999
140,-385.4,0.0,138999
150,-371.1,0.0,148999
160,-357.3,0.0,158999
170,-351.4,0.0,168999
180,-339.3,0.0,178999
190,-331.5,0.0,188999
200,-322.8,0.0,198999
210,-315.2,0.0,208999
220,-304.3,0.0,218999
