episodes,mean 100 episode reward,prob_satisfiability,steps
10,-921.4,0.0,8999
20,-940.4,0.0,18999
30,-943.1,0.0,28999
40,-874.1,0.0,38999
50,-833.5,0.0,48999
60,-808.5,0.0,58999
70,-793.9,0.0,68999
80,-778.9,0.0,78999
90,-766.7,0.0,88999
100,-760.0,0.0,98999
110,-736.3,0.0,108999
120,-707.0,0.0,118999
130,-679.2,0.0,128999
140,-676.2,0.0,138999
150,-671.9,0.0,148999
160,-668.8,0.0,158999
170,-668.2,0.0,168999
180,-674.7,0.0,178999
190,-676.7,0.0,188999
200,-675.7,0.0,198999
210,-672.9,0.0,208999
220,-672.3,0.0,218999
