# {"t_start": 1621275659.2888777, "env_id": "Fetch-M2-v0"} 
r,l,t
-1196.308145,1000,105.261347
-1150.742345,1000,138.743004
-626.308337,1000,167.791708
-583.767431,1000,198.641654
-790.946269,1000,231.297668
-666.550475,1000,263.839523
-1188.938588,1000,296.917731
-1109.885898,1000,333.290393
-978.850961,1000,365.470893
-1075.074849,1000,894.562719
-916.177381,1000,920.128358
-1059.923212,1000,947.443545
-761.089829,1000,976.80031
-965.353541,1000,1006.950886
-831.889803,1000,1037.997296
-918.351591,1000,1068.092095
-997.001011,1000,1097.790833
-961.87098,1000,1128.439775
-1087.701937,1000,1156.42975
-1001.665485,1000,1663.795013
-920.153505,1000,1686.887552
-901.815246,1000,1711.633226
-934.394057,1000,1738.430091
-1167.008591,1000,1764.626122
-1034.333908,1000,1791.895756
-1122.935417,1000,1821.882555
-895.71823,1000,1849.63206
-772.196268,1000,1878.153463
-732.180052,1000,1906.239569
-665.432942,1000,2380.769308
-635.742428,1000,2403.812019
-742.591561,1000,2426.822741
-599.800181,1000,2448.933495
-586.069873,1000,2472.262048
-610.989516,1000,2494.590759
-750.331197,1000,2519.160805
-751.437052,1000,2543.617488
-795.194762,1000,2567.389155
-602.701661,1000,2592.512814
-583.844682,1000,3105.147603
-701.144943,1000,3127.183834
-581.606228,1000,3150.29047
-714.558225,1000,3171.772366
-605.681658,1000,3194.960289
-767.703904,1000,3218.914165
-714.415482,1000,3240.175687
-721.77153,1000,3262.33284
-725.919806,1000,3285.517061
-637.775391,1000,3308.489598
-719.947395,1000,3814.754431
-699.663382,1000,3837.013027
-555.012789,1000,3859.317527
-644.842623,1000,3881.230205
-674.89327,1000,3902.765697
-680.864867,1000,3924.576843
-614.132312,1000,3946.327948
-764.673421,1000,3967.733788
-752.516556,1000,3989.86932
-753.092772,1000,4012.373888
-638.293413,1000,4525.40534
-663.579651,1000,4548.893376
-737.250661,1000,4572.317028
-629.090238,1000,4593.58157
-607.768509,1000,4616.68752
-770.788713,1000,4639.392553
-763.63234,1000,4661.648849
-748.27516,1000,4683.895396
-772.074017,1000,4707.862205
-746.795893,1000,4729.668168
-615.991274,1000,5224.444038
-561.932455,1000,5248.279791
-727.096797,1000,5271.851208
-570.234031,1000,5294.477458
-597.565403,1000,5317.035818
-724.713719,1000,5339.260569
-768.538586,1000,5361.172782
-708.845393,1000,5383.501276
-731.765187,1000,5405.882283
-747.032465,1000,5427.920357
-668.217241,1000,5914.192065
-764.295019,1000,5938.948419
-678.405405,1000,5961.912174
-595.813333,1000,5984.946819
-650.802558,1000,6007.74737
-636.886901,1000,6029.169481
-748.58195,1000,6053.24832
-645.331981,1000,6075.958076
-735.749081,1000,6098.699545
-573.391544,1000,6122.345813
-571.943375,1000,6589.218905
-752.944591,1000,6613.534988
-775.023333,1000,6637.721284
-753.088592,1000,6663.108479
-620.948057,1000,6685.621644
-718.858553,1000,6710.983823
-701.283645,1000,6735.900676
-762.198445,1000,6761.170453
-609.628982,1000,6784.974616
-743.574739,1000,6809.076424
-560.068779,1000,7274.787396
-714.587882,1000,7298.642407
-610.239677,1000,7323.465927
-763.733084,1000,7348.669085
-558.351797,1000,7372.480277
-573.987802,1000,7399.911525
-744.25681,1000,7424.716229
-688.653949,1000,7451.436948
-732.104518,1000,7476.036484
-737.7618,1000,7499.770912
-562.44643,1000,7949.082387
-570.737175,1000,7973.734369
-757.420214,1000,7997.525317
-743.262624,1000,8022.132801
-564.908056,1000,8047.798333
-732.516834,1000,8072.191525
-796.788853,1000,8097.547265
-612.363075,1000,8124.101924
-748.133422,1000,8149.64631
-553.976736,1000,8172.786435
-596.777088,1000,8636.128989
-689.386597,1000,8660.759872
-588.90348,1000,8685.94767
-618.924332,1000,8709.605676
-744.246062,1000,8734.475663
-749.275798,1000,8759.371113
-768.268743,1000,8784.868773
-613.835656,1000,8811.571196
-592.572241,1000,8838.670009
-738.420664,1000,8864.194905
-570.275502,1000,9330.83428
-759.836525,1000,9355.082386
-565.130128,1000,9380.696865
-625.706449,1000,9406.221328
-745.8197,1000,9430.411833
-652.904336,1000,9455.115718
-579.536557,1000,9479.439559
-686.994515,1000,9504.141064
-657.53784,1000,9529.47595
-592.668597,1000,9554.992883
-746.526075,1000,10019.215318
-581.840258,1000,10043.080905
-688.937887,1000,10066.146188
-629.012125,1000,10090.685224
-562.375156,1000,10116.547471
-777.987657,1000,10140.440403
-601.569048,1000,10167.684206
-581.760555,1000,10194.174304
-583.683735,1000,10220.098067
-579.615379,1000,10246.604609
-728.968592,1000,10728.619714
-596.908647,1000,10752.789564
-761.368547,1000,10775.73336
-586.953927,1000,10798.369488
-727.440891,1000,10821.514246
-582.15272,1000,10847.123594
-592.855727,1000,10871.675404
-629.494357,1000,10898.856251
-585.261243,1000,10925.244251
-755.79011,1000,10950.808563
-747.948902,1000,11443.733014
-652.223089,1000,11470.287978
-588.210896,1000,11495.803522
-666.82951,1000,11520.059833
-760.401541,1000,11546.748744
-644.396678,1000,11573.120043
-789.328452,1000,11597.008831
-728.082717,1000,11622.91966
-746.172319,1000,11652.902355
-689.393882,1000,11677.400458
-772.733199,1000,12181.872856
-738.04291,1000,12208.436643
-755.834141,1000,12233.962361
-750.585718,1000,12258.102875
-732.070936,1000,12283.032425
-716.748146,1000,12308.163791
-752.491343,1000,12337.081266
-747.708671,1000,12365.447725
-736.561169,1000,12391.166793
-704.564339,1000,12417.184319
-750.773286,1000,12929.585372
-735.789995,1000,12953.900608
-670.000967,1000,12978.492963
-565.644526,1000,13003.860088
-685.327984,1000,13027.346813
-741.660249,1000,13053.5597
-663.900466,1000,13079.991556
-590.379435,1000,13104.959045
-753.282974,1000,13131.453564
-739.553045,1000,13158.005497
-777.080264,1000,13669.555318
-709.70568,1000,13693.803228
-739.600578,1000,13722.182461
-771.90149,1000,13746.448601
-603.375634,1000,13769.964318
-735.8888,1000,13794.770229
-585.788898,1000,13819.437814
-569.714963,1000,13846.869204
-750.800384,1000,13871.576625
-664.108063,1000,13898.834902
-652.041447,1000,14405.536174
-679.639022,1000,14432.634157
-615.689129,1000,14458.474651
-605.716886,1000,14483.984174
-649.101926,1000,14511.585056
-645.760819,1000,14537.339356
-631.987192,1000,14561.95099
-586.037469,1000,14588.104862
-612.927888,1000,14613.91813
-729.980823,1000,14639.732675
-720.782754,1000,15141.886473
-625.341927,1000,15167.078515
-764.035046,1000,15193.701745
-581.430376,1000,15220.245331
-564.599969,1000,15246.319342
-745.628726,1000,15271.013329
-621.141183,1000,15296.888124
-618.971109,1000,15324.738744
-704.419727,1000,15351.197334
-632.19447,1000,15381.090119
-651.085685,1000,15850.819919
