episodes,mean 100 episode reward,prob_satisfiability,steps
10,-864.2,0.0,8999
20,-744.8,0.0,18999
30,-653.5,0.0,28999
40,-587.4,0.0,38999
50,-596.6,0.0,48999
60,-578.9,0.0,58999
70,-538.4,0.0,68999
80,-548.4,0.0,78999
90,-551.1,0.0,88999
100,-556.0,0.0,98999
110,-508.7,0.0,108999
120,-483.6,0.0,118999
130,-460.4,0.0,128999
140,-474.7,0.0,138999
150,-442.7,0.0,148999
160,-425.8,0.0,158999
170,-426.8,0.0,168999
180,-399.5,0.0,178999
190,-363.7,0.0,188999
200,-346.1,0.0,198999
210,-345.4,0.0,208999
220,-336.0,0.0,218999
