episodes,mean 100 episode reward,prob_satisfiability,steps
10,-685.8,0.0,8999
20,-683.9,0.0,18999
30,-679.5,0.0,28999
40,-674.8,0.0,38999
50,-678.3,0.0,48999
60,-667.7,0.0,58999
70,-664.9,0.0,68999
80,-664.7,0.0,78999
90,-661.9,0.0,88999
100,-663.4,0.0,98999
110,-660.3,0.0,108999
120,-649.8,0.0,118999
130,-649.3,0.0,128999
140,-650.9,0.0,138999
150,-641.6,0.0,148999
160,-647.1,0.0,158999
170,-642.2,0.0,168999
180,-639.6,0.0,178999
190,-645.4,0.0,188999
200,-644.4,0.0,198999
210,-646.7,0.0,208999
220,-654.2,0.0,218999
230,-645.9,0.0,228999
240,-654.2,0.0,238999
250,-666.5,0.0,248999
260,-672.8,0.0,258999
270,-688.5,0.0,268999
280,-704.3,0.0,278999
290,-686.9,0.0,288999
300,-679.3,0.0,298999
310,-684.7,0.0,308999
320,-704.0,0.0,318999
330,-701.4,0.0,328999
340,-689.9,0.0,338999
350,-689.4,0.0,348999
360,-680.7,0.0,358999
370,-667.8,0.0,368999
380,-640.9,0.0,378999
390,-683.1,0.0,388999
400,-688.6,0.0,398999
410,-665.3,0.0,408999
420,-606.9,0.0,418999
