# {"t_start": 1621275671.5317283, "env_id": "Fetch-M3-v0"} 
r,l,t
-1127.322305,1000,104.874153
-608.165513,1000,140.074955
-745.449788,1000,172.386122
-728.237938,1000,205.480167
-613.612461,1000,239.752315
-562.245689,1000,273.911582
-514.741002,1000,309.756615
-760.563288,1000,345.894346
-512.238276,1000,374.758451
-631.115744,1000,953.45771
-573.02117,1000,986.983302
-735.038568,1000,1019.960371
-747.433759,1000,1052.337077
-740.40556,1000,1083.103281
-761.867094,1000,1116.774117
-707.208167,1000,1147.903393
-631.138551,1000,1176.559593
-738.338439,1000,1206.683952
-556.337395,1000,1236.220706
-760.889288,1000,1768.277335
-726.936136,1000,1799.73587
-773.163306,1000,1830.229727
-621.007851,1000,1860.972734
-698.902995,1000,1892.240603
-588.014633,1000,1920.216568
-681.044604,1000,1951.334027
-732.057375,1000,1980.050204
-557.60356,1000,2006.780822
-572.470909,1000,2034.470239
-754.750164,1000,2572.641671
-578.168073,1000,2600.851196
-73.175907,1000,2628.573653
-760.241599,1000,2656.667494
-775.038559,1000,2684.969431
-776.952667,1000,2714.153299
-737.934363,1000,2742.460165
-740.152299,1000,2771.165256
-744.450811,1000,2796.989552
-669.703354,1000,2822.679046
-612.786295,1000,3397.711365
-570.560967,1000,3425.353658
-707.101001,1000,3451.59955
-664.188769,1000,3478.939742
-765.66769,1000,3505.215298
-761.267021,1000,3531.562592
-739.039634,1000,3559.494519
-664.704018,1000,3586.112585
-694.266777,1000,3612.578876
-741.922564,1000,3640.700603
-571.764333,1000,4182.387286
-587.611691,1000,4206.821579
-529.670986,1000,4231.711737
-686.7049,1000,4256.187866
-567.493995,1000,4282.984854
-554.864787,1000,4308.99545
-681.934146,1000,4334.819587
-666.217346,1000,4361.515281
-614.570869,1000,4386.812261
-696.72665,1000,4415.063523
-669.271055,1000,4968.610995
-598.68341,1000,4994.433134
-710.477288,1000,5020.775994
-725.066905,1000,5046.912754
-735.18267,1000,5075.093997
-571.827413,1000,5103.663654
-570.438247,1000,5129.95116
-578.87098,1000,5155.59076
-775.424444,1000,5183.372504
-547.60068,1000,5211.915602
-569.438502,1000,5745.976069
-745.866715,1000,5772.036164
-576.795104,1000,5799.002538
-508.826637,1000,5825.625685
-680.814892,1000,5853.732443
-581.169623,1000,5882.369511
-762.342275,1000,5910.386659
-771.147864,1000,5936.673015
-675.239557,1000,5960.393968
-763.600614,1000,5987.710882
-765.642562,1000,6508.582234
-631.106344,1000,6534.252879
-559.691267,1000,6560.152617
-797.970635,1000,6589.098621
-613.956031,1000,6616.367249
-735.156931,1000,6642.726706
-554.296156,1000,6669.450485
-583.252622,1000,6694.904224
-690.198036,1000,6722.533054
-463.982893,1000,6748.634052
-727.879126,1000,7279.660115
-668.933267,1000,7307.889743
-674.87801,1000,7336.509788
-679.225893,1000,7365.604684
-757.228083,1000,7394.85372
-665.77273,1000,7422.147311
-739.036532,1000,7448.659779
-613.870833,1000,7476.188798
-562.196607,1000,7502.14664
-681.463303,1000,7527.687856
-550.886182,1000,8044.948055
-737.442737,1000,8073.438772
-262.881539,1000,8104.386561
-746.209969,1000,8132.805179
-761.017595,1000,8158.513478
-706.926858,1000,8185.282504
-741.343223,1000,8212.123163
-642.488126,1000,8236.053339
-588.55123,1000,8262.329784
-785.511531,1000,8288.868699
