episodes,mean 100 episode reward,prob_satisfiability,steps
10,-759.1,0.0,8999
20,-667.6,0.0,18999
30,-623.0,0.0,28999
40,-612.6,0.0,38999
50,-599.3,0.0,48999
60,-592.8,0.0,58999
70,-586.6,0.0,68999
80,-585.0,0.0,78999
90,-592.5,0.0,88999
100,-604.1,0.0,98999
110,-599.4,0.0,108999
120,-610.2,0.0,118999
130,-622.0,0.0,128999
140,-632.2,0.0,138999
150,-643.7,0.0,148999
160,-661.6,0.0,158999
170,-685.6,0.0,168999
180,-700.6,0.0,178999
190,-704.4,0.0,188999
200,-710.3,0.0,198999
210,-714.0,0.0,208999
220,-717.1,0.0,218999
