episodes,mean 100 episode reward,prob_satisfiability,steps
10,-878.0,0.0,8999
20,-763.4,0.0,18999
30,-629.2,0.0,28999
40,-579.2,0.0,38999
50,-536.3,0.0,48999
60,-513.0,0.0,58999
70,-491.4,0.0,68999
80,-472.8,0.0,78999
90,-467.7,0.0,88999
100,-517.9,0.0,98999
110,-474.3,0.0,108999
120,-466.4,0.0,118999
130,-487.4,0.0,128999
140,-492.3,0.0,138999
150,-524.2,0.0,148999
160,-541.7,0.0,158999
170,-553.2,0.0,168999
180,-567.5,0.0,178999
190,-566.5,0.0,188999
200,-517.1,0.0,198999
210,-515.1,0.0,208999
220,-488.7,0.0,218999
230,-460.5,0.0,228999
240,-488.8,0.0,238999
250,-512.4,0.0,248999
260,-519.7,0.0,258999
270,-534.8,0.0,268999
280,-565.8,0.0,278999
290,-575.0,0.0,288999
300,-598.0,0.0,298999
310,-602.3,0.0,308999
320,-610.2,0.0,318999
330,-636.7,0.0,328999
340,-599.5,0.0,338999
350,-562.6,0.0,348999
360,-537.9,0.0,358999
370,-528.9,0.0,368999
380,-510.3,0.0,378999
390,-502.9,0.0,388999
400,-479.3,0.0,398999
410,-488.2,0.0,408999
420,-507.2,0.0,418999
