episodes,mean 100 episode reward,prob_satisfiability,steps
10,-820.2,0.0,8999
20,-733.8,0.0,18999
30,-715.1,0.0,28999
40,-687.5,0.0,38999
50,-690.2,0.0,48999
60,-680.7,0.0,58999
70,-673.9,0.0,68999
80,-675.0,0.0,78999
90,-669.0,0.0,88999
100,-669.3,0.0,98999
110,-652.6,0.0,108999
120,-654.1,0.0,118999
130,-657.6,0.0,128999
140,-663.0,0.0,138999
150,-657.3,0.0,148999
160,-661.5,0.0,158999
170,-687.2,0.0,168999
180,-725.7,0.0,178999
190,-780.7,0.0,188999
200,-795.4,0.0,198999
210,-831.7,0.0,208999
220,-850.4,0.0,218999
