# {"t_start": 1621275655.411167, "env_id": "Fetch-M2-v0"} 
r,l,t
-1273.387574,1000,107.677876
-790.107416,1000,142.808117
-486.770402,1000,176.09262
-1001.317177,1000,211.511353
-755.706325,1000,246.465502
-647.554499,1000,286.532509
-1082.192912,1000,323.998044
-705.569965,1000,359.980102
-639.384246,1000,390.634714
-243.50055,1000,907.713839
-616.305338,1000,935.426208
-655.202176,1000,962.067428
-594.029287,1000,991.70603
-627.28711,1000,1023.972458
-776.85684,1000,1058.251336
-707.602852,1000,1088.784862
-945.517889,1000,1119.409229
-641.397098,1000,1151.510842
-752.594413,1000,1181.43469
-1023.580103,1000,1708.400247
-701.47969,1000,1737.272824
-774.004917,1000,1767.557149
-768.152929,1000,1799.148827
-564.890414,1000,1829.58572
-579.482008,1000,1860.626546
-571.402232,1000,1889.814233
-659.197959,1000,1918.751639
-596.548002,1000,1947.815435
-557.949748,1000,1977.546581
-473.103808,1000,2521.160723
-560.418485,1000,2547.381882
-891.787901,1000,2572.537476
-727.325457,1000,2599.592571
-730.440558,1000,2629.205195
-553.958393,1000,2657.525443
-729.538299,1000,2684.755821
-253.134917,1000,2712.675177
-579.207489,1000,2740.821322
-576.446936,1000,2766.628963
-631.800347,1000,3330.108141
-739.486877,1000,3355.161577
-710.940938,1000,3380.404825
-628.739188,1000,3404.403448
-716.297133,1000,3430.10129
-713.791424,1000,3454.625197
-577.164136,1000,3479.231798
-782.373232,1000,3504.240299
-765.503709,1000,3528.928168
-740.087165,1000,3553.787463
-544.075997,1000,4114.35462
-632.611911,1000,4137.446924
-690.382223,1000,4161.076207
-563.48495,1000,4184.520992
-700.579275,1000,4208.354729
-562.706976,1000,4232.448758
-578.129863,1000,4256.511281
-730.82402,1000,4281.151128
-779.527826,1000,4307.325842
-559.086871,1000,4332.775883
-737.237295,1000,4888.66958
-627.465488,1000,4912.339871
-284.104194,1000,4937.31132
-571.869285,1000,4961.144552
-602.874136,1000,4985.330062
-708.534253,1000,5008.314787
-551.787557,1000,5033.084207
-756.326923,1000,5058.256394
-750.306063,1000,5083.749207
-745.037915,1000,5111.265163
-691.456648,1000,5658.61297
-652.629742,1000,5681.304487
-716.936546,1000,5704.925538
-738.498854,1000,5729.073983
-544.113793,1000,5752.733281
-734.002519,1000,5777.322635
-749.237801,1000,5802.664223
-674.468339,1000,5829.539219
-622.284102,1000,5855.287399
-706.981771,1000,5882.126464
-124.835833,1000,6405.334221
-736.331365,1000,6430.290948
-751.282278,1000,6455.602579
-568.469297,1000,6480.006925
-611.424318,1000,6506.214191
-561.572141,1000,6531.887681
-768.687144,1000,6558.427849
-754.492307,1000,6584.963919
-599.31496,1000,6610.608491
-738.866696,1000,6636.398104
-665.58415,1000,7164.66745
-746.093244,1000,7189.574183
-741.325961,1000,7214.911722
-784.874848,1000,7241.124655
-594.69024,1000,7266.616341
-570.786458,1000,7292.800987
-742.784333,1000,7318.733144
-757.892921,1000,7345.785698
-657.140285,1000,7370.482931
-454.33199,1000,7397.451299
-559.043364,1000,7910.104462
-555.556126,1000,7935.102056
-606.744578,1000,7959.934833
-595.441482,1000,7984.916222
-752.099665,1000,8010.103287
-627.262859,1000,8036.399937
-765.872536,1000,8062.828742
-770.66845,1000,8088.992069
-549.875243,1000,8116.501334
-597.360193,1000,8144.136952
-663.061865,1000,8650.317806
-722.035136,1000,8673.528067
-760.007374,1000,8698.553167
-578.320844,1000,8724.222814
-680.562512,1000,8752.258222
-712.546388,1000,8778.549977
-744.333236,1000,8805.364979
-560.314235,1000,8832.965335
-570.16941,1000,8859.479413
-722.294327,1000,8887.924657
-584.404784,1000,9399.229912
-706.857353,1000,9424.244537
-734.686956,1000,9448.389439
-749.099703,1000,9473.581706
-716.583414,1000,9499.344651
-772.252015,1000,9525.562644
-764.047492,1000,9552.432063
-642.737407,1000,9578.702497
-745.095945,1000,9605.028506
-734.376133,1000,9630.831571
-576.286088,1000,10134.747763
-738.047521,1000,10159.638817
-578.748636,1000,10183.827727
-756.756908,1000,10209.794378
-755.39395,1000,10237.05755
-587.605531,1000,10262.66501
-688.080099,1000,10289.535236
-578.169385,1000,10318.069939
-766.530066,1000,10343.682198
-586.646431,1000,10370.290821
-484.891866,1000,10897.012218
-621.684526,1000,10922.137105
-649.791907,1000,10947.828616
-679.821584,1000,10973.720872
-615.058536,1000,11000.56755
-627.814971,1000,11028.100774
-715.595194,1000,11054.141509
-718.919248,1000,11081.042143
-555.180681,1000,11108.777085
-762.749857,1000,11136.090148
-687.000892,1000,11721.585905
-557.241029,1000,11745.608539
-773.749927,1000,11773.570853
-570.901176,1000,11803.106264
-789.690248,1000,11833.208925
-641.900064,1000,11860.147586
-546.432762,1000,11887.800804
-729.266526,1000,11918.122221
-730.91449,1000,11950.220626
-736.067311,1000,11978.208726
-633.135169,1000,12571.273886
-444.496398,1000,12603.068881
-893.770929,1000,12632.808753
-1012.631719,1000,12661.429684
-951.453054,1000,12699.833741
-1026.266873,1000,12729.606512
-975.751346,1000,12762.395468
-1125.047031,1000,12794.730144
-842.76009,1000,12825.594214
-1005.767893,1000,12859.411878
-1130.357055,1000,13483.025326
-915.980205,1000,13513.337541
-1089.633831,1000,13545.217168
-1004.368999,1000,13578.273752
-1033.788212,1000,13608.180732
-1029.606505,1000,13639.484605
-1114.3648,1000,13673.11885
-1143.418042,1000,13699.528459
-1143.232844,1000,13730.625207
-1076.034348,1000,13757.172516
-1280.71231,1000,14385.168962
-1044.370929,1000,14415.754925
-1008.444292,1000,14444.318905
-1093.070509,1000,14474.367876
-1109.314333,1000,14509.799332
-1313.717383,1000,14538.410747
-1270.718981,1000,14566.353046
-1313.749293,1000,14595.658239
-1269.12337,1000,14621.554055
-1004.468154,1000,14649.503615
-980.409785,1000,15289.956081
-1017.073463,1000,15316.085426
-802.619221,1000,15344.092331
-758.056297,1000,15373.181764
-637.163624,1000,15402.007936
-571.488337,1000,15434.012759
-690.098534,1000,15459.573266
-715.028469,1000,15486.108322
-1141.647893,1000,15514.464233
-874.506454,1000,15544.205663
-819.978992,1000,16097.636585
-994.570009,1000,16129.79331
-620.177238,1000,16160.466317
-1137.842905,1000,16195.231947
-822.721947,1000,16224.474926
-1256.120294,1000,16249.776828
-1319.875062,1000,16276.688946
-976.014933,1000,16306.71092
-1107.062924,1000,16332.082879
-955.915145,1000,16360.892115
-1134.641035,1000,16860.593174
-1027.712755,1000,16892.573395
-1251.471844,1000,16921.459262
-1075.011364,1000,16951.213353
-454.312853,1000,16981.902306
-539.113243,1000,17011.982983
-964.215705,1000,17041.533185
-886.61496,1000,17073.744549
-869.216156,1000,17103.537612
-386.26048,1000,17128.723149
-869.853886,1000,17628.642813
