# {"t_start": 1621275661.2999449, "env_id": "Fetch-M1-v0"} 
r,l,t
-657.924739,1000,105.043154
-596.314733,1000,138.265708
-878.792235,1000,168.126851
-881.285078,1000,201.242375
-554.859703,1000,235.280526
-1107.312727,1000,273.565007
-771.903928,1000,310.177719
-1051.952372,1000,347.177194
-913.98017,1000,382.541542
-1088.182871,1000,919.165202
-1017.516441,1000,946.989305
-926.434832,1000,976.492979
-762.908796,1000,1005.827655
-555.598072,1000,1038.21088
-365.005585,1000,1069.89532
-569.372519,1000,1102.118735
-739.272911,1000,1132.65415
-1055.170047,1000,1163.732273
-1040.225345,1000,1190.9931
-647.378469,1000,1663.157117
-769.073699,1000,1687.485993
-442.833227,1000,1713.412511
-739.444804,1000,1739.389167
-628.442996,1000,1765.744032
-703.448527,1000,1795.719463
-698.569105,1000,1824.102515
-524.584093,1000,1852.95927
-472.631345,1000,1882.265542
-458.460603,1000,1910.895299
-610.710101,1000,2428.049479
-529.188764,1000,2453.257546
-631.840214,1000,2478.298971
-723.943014,1000,2503.601406
-889.808798,1000,2530.913056
-690.765096,1000,2556.379802
-734.623312,1000,2582.2662
-597.734856,1000,2610.828405
-747.840285,1000,2640.099638
-805.925829,1000,2669.536813
-919.510837,1000,3234.828005
-764.91203,1000,3260.049051
-651.449206,1000,3284.625382
-565.280425,1000,3308.571031
-694.463469,1000,3332.220101
-693.447099,1000,3357.414693
-672.020797,1000,3381.691538
-565.820569,1000,3406.657004
-796.72484,1000,3433.083874
-742.639571,1000,3457.745584
-612.721363,1000,3977.85317
-699.1404,1000,4001.202069
-592.43808,1000,4024.885129
-583.081513,1000,4048.221082
-638.822165,1000,4072.408326
-687.824341,1000,4095.805917
-580.241418,1000,4121.115988
-647.226204,1000,4144.01382
-449.978018,1000,4167.372631
-673.679454,1000,4190.357598
-495.97842,1000,4711.774583
-738.051691,1000,4737.155761
-740.341464,1000,4761.232694
-356.086536,1000,4785.101977
-764.361603,1000,4810.004121
-704.409229,1000,4833.468328
-259.794362,1000,4856.480008
-471.947164,1000,4879.230782
-620.283725,1000,4901.053339
-225.176,1000,4924.642049
-745.021148,1000,5491.335322
-541.579836,1000,5515.614331
-483.02972,1000,5539.89661
-723.918317,1000,5564.175641
-551.747344,1000,5586.913062
-554.731489,1000,5608.639231
