episodes,mean 100 episode reward,prob_satisfiability,steps
10,-823.8,0.0,8999
20,-817.6,0.0,18999
30,-745.5,0.0,28999
40,-732.9,0.0,38999
50,-727.5,0.0,48999
60,-708.7,0.0,58999
70,-683.9,0.0,68999
80,-675.0,0.0,78999
90,-666.4,0.0,88999
100,-661.0,0.0,98999
110,-651.9,0.0,108999
120,-637.8,0.0,118999
130,-642.2,0.0,128999
140,-632.4,0.0,138999
150,-631.5,0.0,148999
160,-633.5,0.0,158999
170,-643.8,0.0,168999
180,-648.2,0.0,178999
190,-661.9,0.0,188999
200,-672.6,0.0,198999
210,-658.5,0.0,208999
220,-653.4,0.0,218999
