episodes,mean 100 episode reward,prob_satisfiability,steps
10,-737.6,0.0,8999
20,-840.0,0.0,18999
30,-802.7,0.0,28999
40,-784.7,0.0,38999
50,-695.0,0.0,48999
60,-639.7,0.0,58999
70,-614.4,0.0,68999
80,-582.7,0.0,78999
90,-560.4,0.0,88999
100,-564.4,0.0,98999
110,-540.2,0.0,108999
120,-518.4,0.0,118999
130,-500.9,0.0,128999
140,-474.4,0.0,138999
150,-500.6,0.0,148999
160,-520.3,0.0,158999
170,-526.8,0.0,168999
180,-533.6,0.0,178999
190,-529.5,0.0,188999
200,-533.2,0.0,198999
210,-534.1,0.0,208999
220,-518.6,0.0,218999
