# {"t_start": 1621263913.544846, "env_id": "Fetch-M3-v0"} 
r,l,t
-557.306941,1000,17.474118
-625.017335,1000,30.061984
-1068.380801,1000,94.074645
-1160.421972,1000,107.826542
-562.38282,1000,169.35579
-1072.570381,1000,185.60938
-1001.641544,1000,263.463645
-1341.382568,1000,277.374768
-1070.262342,1000,339.413891
-1063.623664,1000,354.507473
-987.47715,1000,417.859284
-619.594387,1000,432.33815
-673.645578,1000,493.235264
-577.133801,1000,507.158636
-747.772604,1000,565.694134
-299.226535,1000,580.545211
-640.146208,1000,637.894478
-519.846236,1000,653.089416
-658.20532,1000,711.257311
-571.025359,1000,724.789194
-571.683885,1000,786.270837
-726.155604,1000,802.013377
-556.963965,1000,863.3475
-582.520581,1000,877.432055
-618.929422,1000,935.809992
-673.6417,1000,949.738591
-739.912836,1000,1010.549361
-752.340956,1000,1024.140684
-656.73915,1000,1084.102268
-680.087917,1000,1098.08412
-494.68476,1000,1159.228365
-728.00893,1000,1174.563851
-719.217744,1000,1233.417749
-774.493655,1000,1248.503105
-747.06901,1000,1308.908664
-764.321675,1000,1323.125757
-703.957636,1000,1386.21159
-756.310388,1000,1400.585551
-770.075255,1000,1458.728515
-582.752061,1000,1472.496542
-596.012005,1000,1533.082694
-705.034761,1000,1547.130831
-590.452775,1000,1607.787565
-628.077098,1000,1622.687069
-550.474764,1000,1685.388233
-716.586212,1000,1699.89087
-552.044852,1000,1758.938962
-751.516641,1000,1773.064698
-611.375278,1000,1832.452319
-726.65476,1000,1848.329865
-594.606136,1000,1911.534801
-764.525559,1000,1925.741825
-607.98216,1000,1986.173813
-749.277597,1000,2002.807237
-574.084317,1000,2066.421369
-707.742775,1000,2080.808514
-556.472655,1000,2141.859623
-716.092971,1000,2157.498053
-674.598922,1000,2218.179144
-567.830377,1000,2231.453871
-764.647839,1000,2292.95603
-683.008177,1000,2306.858603
-571.93211,1000,2365.794298
-682.475925,1000,2380.212206
-577.33845,1000,2442.494059
-606.965209,1000,2457.112752
-719.568857,1000,2519.440556
-758.280617,1000,2533.528111
-772.111912,1000,2596.863856
-608.791251,1000,2612.842421
-576.048087,1000,2672.540526
-1325.5659,1000,2688.29545
-777.895736,1000,2751.092515
-696.637416,1000,2765.129393
-790.531704,1000,2825.798879
-257.461471,1000,2840.408666
-771.893889,1000,2900.589333
-732.090427,1000,2915.402955
-713.184472,1000,2976.733603
-760.117893,1000,2991.155081
-779.028294,1000,3053.044461
-748.087034,1000,3068.298074
-494.387577,1000,3131.211514
-350.184046,1000,3146.113749
-646.162272,1000,3206.545704
-598.359221,1000,3220.661782
-747.074238,1000,3284.611296
-584.127191,1000,3301.511254
-607.58183,1000,3361.863903
-762.361989,1000,3376.360891
-570.97604,1000,3435.707541
-624.348104,1000,3450.455898
-721.804736,1000,3515.240708
-615.307259,1000,3531.91292
-751.048794,1000,3603.180548
-630.745228,1000,3620.784943
-715.528699,1000,3692.126815
-684.082268,1000,3709.27441
-592.404962,1000,3778.287183
-588.795062,1000,3793.936824
-729.587771,1000,3869.918458
-564.362576,1000,3886.361591
-776.986298,1000,3957.114174
-581.219228,1000,3973.692644
-651.098375,1000,4046.280197
-165.482469,1000,4061.374078
-787.069098,1000,4132.219481
-155.619657,1000,4148.121132
-748.793413,1000,4217.006994
-652.35074,1000,4232.9919
-726.578078,1000,4303.72674
-575.150005,1000,4321.198528
-696.762567,1000,4389.905084
-260.592099,1000,4408.130188
-611.426099,1000,4480.65514
-739.564509,1000,4497.622159
-744.418078,1000,4563.117015
-577.453722,1000,4580.826441
-716.915666,1000,4650.488024
-740.92937,1000,4667.354101
-557.498035,1000,4738.041805
-764.765748,1000,4753.82915
-762.603608,1000,4822.429201
-575.725867,1000,4839.612725
-744.949863,1000,4912.540197
-757.498272,1000,4928.05055
-722.066257,1000,4996.540604
-574.117639,1000,5011.366694
-753.714067,1000,5080.743639
-568.319676,1000,5097.262113
-639.415571,1000,5163.260303
-581.148764,1000,5178.815911
-722.15843,1000,5247.800019
-598.300021,1000,5266.306371
-625.193258,1000,5335.279032
-703.850307,1000,5353.010614
-716.559533,1000,5420.894897
-251.028435,1000,5438.037172
-593.941484,1000,5507.900658
-752.10164,1000,5523.150064
-593.309313,1000,5594.554855
-563.672687,1000,5612.313934
-747.450778,1000,5679.254228
-709.210817,1000,5696.607263
-568.077107,1000,5765.406665
-770.302205,1000,5783.161638
-583.589666,1000,5850.294012
-722.958422,1000,5865.69202
-571.002454,1000,5936.480402
-630.687306,1000,5952.013522
-561.204936,1000,6025.028679
-675.854612,1000,6042.135493
-607.630622,1000,6110.404428
-763.576758,1000,6126.553591
-663.521155,1000,6196.687637
-572.477116,1000,6211.157266
-575.227789,1000,6282.787482
-747.030719,1000,6299.873039
-757.001902,1000,6369.536189
-452.510196,1000,6387.032095
-783.636941,1000,6456.854505
-777.275529,1000,6472.854358
-753.762785,1000,6541.508366
-740.806001,1000,6558.95461
-763.197452,1000,6629.045608
-557.092932,1000,6643.482572
-762.328136,1000,6710.789295
-553.514348,1000,6729.000847
-765.176053,1000,6802.478092
-771.584355,1000,6818.793062
-608.867239,1000,6889.066262
-576.188103,1000,6904.197078
-736.791861,1000,6973.913062
-751.975612,1000,6990.673025
-654.129419,1000,7055.31624
-734.353045,1000,7071.320386
-172.991318,1000,7141.702641
-578.828393,1000,7158.675319
-358.742094,1000,7228.209092
-335.886827,1000,7243.249472
-640.396141,1000,7311.104208
-782.708569,1000,7326.966489
-549.98969,1000,7394.698574
-341.688242,1000,7411.098737
-594.72982,1000,7475.354276
-734.033952,1000,7492.928005
-247.146834,1000,7557.1567
-262.850735,1000,7572.633708
-716.556203,1000,7638.281091
-737.442736,1000,7653.154814
-758.35934,1000,7721.71658
-358.288581,1000,7738.940267
-595.607172,1000,7807.429552
-617.714312,1000,7821.181692
-626.67716,1000,7886.884998
-601.79705,1000,7902.392294
-758.606481,1000,7966.737825
-601.341161,1000,7983.09745
-747.558703,1000,8047.204256
-235.141726,1000,8060.946257
-769.283819,1000,8121.548856
-563.405873,1000,8136.280738
-447.433739,1000,8198.332736
-569.814625,1000,8212.564184
-701.991764,1000,8272.078265
-589.607589,1000,8287.223747
-572.522944,1000,8348.131373
-704.163813,1000,8363.989601
-559.676307,1000,8424.873964
-570.101236,1000,8440.144931
-574.0622,1000,8499.554012
-131.784311,1000,8513.264899
-794.764646,1000,8573.140255
-748.30152,1000,8588.734601
-502.768927,1000,8645.162716
-760.20449,1000,8661.829764
-565.54842,1000,8721.782845
-666.909193,1000,8735.965839
-658.6964,1000,8795.555311
-651.56118,1000,8809.873582
-712.484898,1000,8869.859784
-633.628738,1000,8884.831945
-764.036794,1000,8944.938125
-733.016011,1000,8960.10383
-761.060442,1000,9018.304889
-774.980982,1000,9032.407253
-703.809543,1000,9089.918384
-665.302565,1000,9105.748773
-784.848574,1000,9163.284123
-709.729929,1000,9177.900167
-706.806666,1000,9236.551147
-751.568052,1000,9251.375582
-556.301575,1000,9308.987573
-732.195038,1000,9324.139437
-489.860048,1000,9382.143453
-663.507455,1000,9397.964145
-633.213507,1000,9456.563084
-763.666765,1000,9470.996002
-749.297754,1000,9531.718884
-572.066503,1000,9545.746701
-763.643279,1000,9604.158754
-570.730112,1000,9619.273881
-749.26922,1000,9677.054929
-579.722505,1000,9690.977535
-553.671199,1000,9750.247561
-588.708095,1000,9764.247392
-735.930239,1000,9821.357136
-579.494792,1000,9837.57846
-552.031375,1000,9896.70769
-564.746435,1000,9910.397166
-738.809532,1000,9970.904937
-652.75956,1000,9985.624924
-722.475076,1000,10046.353968
-718.545973,1000,10060.282831
-691.486639,1000,10118.728593
-664.768484,1000,10133.016053
-581.014414,1000,10194.170551
-729.729339,1000,10210.284689
-747.828606,1000,10270.796623
-700.695297,1000,10285.250119
-567.79396,1000,10344.664694
-1348.413823,1000,10358.548417
-560.541271,1000,10419.760172
-759.857074,1000,10436.227971
-683.884903,1000,10497.438508
-771.239314,1000,10512.3177
-95.12558,1000,10572.804498
-569.579245,1000,10587.725323
-743.812549,1000,10647.204016
-233.846476,1000,10663.509299
