episodes,mean 100 episode reward,prob_satisfiability,steps
10,-824.2,0.0,8999
20,-881.3,0.0,18999
30,-814.0,0.0,28999
40,-765.6,0.0,38999
50,-737.8,0.0,48999
60,-737.8,0.0,58999
70,-770.9,0.0,68999
80,-778.6,0.0,78999
90,-771.5,0.0,88999
100,-742.1,0.0,98999
110,-717.2,0.0,108999
120,-689.2,0.0,118999
130,-686.5,0.0,128999
140,-680.9,0.0,138999
150,-681.8,0.0,148999
160,-662.5,0.0,158999
170,-625.2,0.0,168999
180,-598.7,0.0,178999
190,-591.3,0.0,188999
200,-611.8,0.0,198999
210,-618.4,0.0,208999
220,-613.8,0.0,218999
