episodes,mean 100 episode reward,prob_satisfiability,steps
10,-705.2,0.0,8999
20,-686.0,0.0,18999
30,-681.2,0.0,28999
40,-679.2,0.0,38999
50,-672.3,0.0,48999
60,-649.7,0.0,58999
70,-632.6,0.0,68999
80,-628.4,0.0,78999
90,-622.4,0.0,88999
100,-613.3,0.0,98999
110,-597.0,0.0,108999
120,-583.5,0.0,118999
130,-569.7,0.0,128999
140,-556.8,0.0,138999
150,-545.9,0.0,148999
160,-546.3,0.0,158999
170,-548.2,0.0,168999
180,-541.9,0.0,178999
190,-537.2,0.0,188999
200,-538.0,0.0,198999
210,-538.5,0.0,208999
220,-541.3,0.0,218999
230,-544.7,0.0,228999
240,-543.5,0.0,238999
250,-545.0,0.0,248999
260,-545.2,0.0,258999
270,-543.4,0.0,268999
280,-543.8,0.0,278999
290,-544.9,0.0,288999
300,-543.7,0.0,298999
310,-543.1,0.0,308999
320,-541.3,0.0,318999
330,-538.1,0.0,328999
340,-538.6,0.0,338999
350,-537.2,0.0,348999
360,-536.1,0.0,358999
370,-535.3,0.0,368999
380,-534.4,0.0,378999
390,-534.5,0.0,388999
400,-535.2,0.0,398999
410,-536.4,0.0,408999
420,-535.5,0.0,418999
