# {"t_start": 1621275676.3527565, "env_id": "Fetch-M3-v0"} 
r,l,t
-840.197972,1000,115.391137
-611.595379,1000,152.019163
-659.91576,1000,191.20897
-974.481192,1000,231.07141
-674.706175,1000,272.601624
-686.938274,1000,311.20186
-666.343592,1000,348.829075
-567.729443,1000,378.846805
-664.804192,1000,408.68127
-703.515093,1000,938.209173
-610.039194,1000,972.203176
-590.083606,1000,1006.498993
-758.670712,1000,1042.436403
-588.720603,1000,1077.194971
-779.506312,1000,1110.905896
-562.945718,1000,1143.033686
-616.071311,1000,1174.528867
-695.917611,1000,1204.682756
-781.930008,1000,1235.008607
-717.854461,1000,1730.840643
-602.951839,1000,1761.008652
-754.21799,1000,1793.686559
-743.566725,1000,1826.496759
-619.49881,1000,1859.184198
-671.035659,1000,1891.46017
-600.771012,1000,1923.137062
-690.039386,1000,1954.257887
-753.684599,1000,1982.537238
-565.788314,1000,2012.105067
-630.215339,1000,2517.063153
-702.134535,1000,2544.458109
-729.107469,1000,2574.189742
-601.871351,1000,2604.656165
-567.233914,1000,2634.227069
-734.505609,1000,2663.542292
-668.390186,1000,2692.092889
-766.499476,1000,2720.901274
-568.019781,1000,2749.71396
-768.405919,1000,2778.059988
-563.489937,1000,3295.633322
-728.365109,1000,3323.293744
-701.004484,1000,3348.824327
-619.102921,1000,3374.993644
-610.563298,1000,3402.862217
-592.812226,1000,3432.300504
-752.098672,1000,3459.622404
-632.380316,1000,3487.645255
-540.338996,1000,3515.588203
-713.97706,1000,3543.6628
-514.594434,1000,4084.349146
-561.04652,1000,4109.950541
-585.135555,1000,4136.284891
-539.161028,1000,4162.234472
-529.318803,1000,4188.485163
-520.069138,1000,4215.304341
-522.933963,1000,4242.051091
-544.266286,1000,4269.719949
-546.558615,1000,4297.72023
-526.421938,1000,4325.241359
-528.030083,1000,4877.408278
-533.035202,1000,4902.736537
-524.904259,1000,4928.312248
-536.474683,1000,4952.815989
-539.323016,1000,4978.292036
-532.472121,1000,5005.272042
-512.460212,1000,5032.351627
-543.16389,1000,5061.498952
-542.453529,1000,5090.21779
-524.278147,1000,5118.473636
-527.628797,1000,5655.404197
-526.393539,1000,5681.829275
-541.995355,1000,5708.334406
-546.857207,1000,5734.617961
-545.803934,1000,5763.09541
-1118.486275,1000,5792.540211
-583.307328,1000,5821.807109
-524.979803,1000,5851.893343
-521.676734,1000,5881.396053
-554.03434,1000,5909.122561
-554.570666,1000,6410.110323
-528.238438,1000,6436.444968
-515.236029,1000,6462.26467
-623.181912,1000,6490.102326
-687.774493,1000,6515.880939
-579.779452,1000,6543.799045
-529.731409,1000,6571.4194
-675.756411,1000,6598.963451
-526.685268,1000,6627.238704
-531.239804,1000,6656.485194
-531.125109,1000,7169.885171
-522.879155,1000,7196.95383
-537.332486,1000,7223.883791
-527.27251,1000,7251.432693
-527.235742,1000,7280.256936
-552.186167,1000,7308.769257
-529.427455,1000,7338.681647
-515.282489,1000,7368.50297
-550.276907,1000,7396.857218
-530.151087,1000,7424.795109
-532.302318,1000,7927.148463
-530.252778,1000,7955.734734
-533.506954,1000,7982.660656
-543.881019,1000,8011.14501
-538.07133,1000,8040.248012
-536.266349,1000,8069.739194
-519.381632,1000,8100.549584
-532.607624,1000,8130.345897
-527.516531,1000,8157.718199
-538.483819,1000,8185.29768
-533.803608,1000,8699.024923
-521.19051,1000,8728.816983
-516.910119,1000,8757.714967
-514.992874,1000,8787.075406
-544.338749,1000,8817.73726
-534.796189,1000,8846.7062
-531.485751,1000,8876.187723
-550.079142,1000,8905.021976
-560.622589,1000,8931.774326
-529.419767,1000,8958.311183
-528.646191,1000,9450.837659
-512.280145,1000,9478.818258
-536.155302,1000,9506.733613
-536.699814,1000,9536.046649
-548.742602,1000,9564.277799
-531.225795,1000,9593.093949
-536.63256,1000,9620.509733
-522.375148,1000,9647.475327
-533.233877,1000,9674.58226
