episodes,mean 100 episode reward,prob_satisfiability,steps
10,-730.7,0.0,8999
20,-766.7,0.0,18999
30,-709.9,0.0,28999
40,-678.3,0.0,38999
50,-661.3,0.0,48999
60,-654.3,0.0,58999
70,-644.3,0.0,68999
80,-656.0,0.0,78999
90,-668.8,0.0,88999
100,-684.1,0.0,98999
110,-683.8,0.0,108999
120,-680.8,0.0,118999
130,-684.5,0.0,128999
140,-684.5,0.0,138999
150,-678.8,0.0,148999
160,-674.6,0.0,158999
170,-684.6,0.0,168999
180,-677.3,0.0,178999
190,-655.7,0.0,188999
200,-639.6,0.0,198999
210,-624.7,0.0,208999
220,-609.4,0.0,218999
