# {"t_start": 1621263918.0836232, "env_id": "Fetch-M1-v0"} 
r,l,t
-1150.850645,1000,14.709694
-656.178392,1000,27.19437
-563.771918,1000,80.879859
-684.267837,1000,91.8729
-600.789955,1000,142.570848
-746.106632,1000,153.774849
-883.861633,1000,209.94368
-195.119442,1000,222.640445
-355.558713,1000,277.858736
-371.442071,1000,289.313602
-531.271446,1000,344.739012
-582.783798,1000,358.082022
-128.450469,1000,416.32127
-250.58549,1000,428.115535
-600.38965,1000,484.151152
-261.677202,1000,497.480579
-366.334255,1000,558.718183
-108.073364,1000,573.096803
-171.082632,1000,632.700888
-169.831449,1000,646.025345
-297.449409,1000,705.123154
-294.473103,1000,716.856667
-160.209439,1000,774.165602
-279.972567,1000,786.778335
-321.525662,1000,843.062487
-314.286082,1000,855.18923
-217.413314,1000,914.652287
-480.811059,1000,928.000047
-358.047828,1000,985.842642
-560.890142,1000,997.735047
-310.030328,1000,1055.197522
-232.738807,1000,1068.368145
-328.707444,1000,1124.466548
-280.955947,1000,1136.57198
-430.690303,1000,1200.838872
-182.337072,1000,1212.310191
-271.023292,1000,1270.065985
-94.411717,1000,1283.123723
-307.876861,1000,1343.316787
-352.083442,1000,1355.331075
-227.056464,1000,1412.395142
-356.247332,1000,1425.671938
-129.96256,1000,1482.353735
-471.10027,1000,1494.65614
-320.976443,1000,1551.842575
-162.605492,1000,1565.079255
-240.410436,1000,1620.800388
-250.318585,1000,1633.011296
-592.493415,1000,1689.34555
-492.832312,1000,1700.73812
-161.738768,1000,1759.959396
-257.515582,1000,1773.473711
-263.745474,1000,1832.903689
-297.659208,1000,1844.868871
-254.666523,1000,1903.291897
-441.668781,1000,1915.707973
-174.631725,1000,1974.97798
-330.984768,1000,1988.135933
-348.586529,1000,2051.665663
-154.253212,1000,2065.026157
-359.170679,1000,2124.24666
-161.053198,1000,2137.186618
-174.431492,1000,2193.060696
-213.479378,1000,2205.424592
-342.495305,1000,2261.123738
-259.446204,1000,2273.391289
-301.098153,1000,2332.401451
-169.435769,1000,2345.569244
-309.93698,1000,2402.849641
-764.781683,1000,2416.705765
-230.468235,1000,2473.663374
