# {"t_start": 1621263918.6707075, "env_id": "Fetch-M2-v0"} 
r,l,t
-932.59473,1000,13.5736
-1009.086287,1000,26.469404
-166.190178,1000,82.505018
-922.095724,1000,96.286296
-538.153734,1000,151.046591
-674.402923,1000,162.246119
-830.138316,1000,216.466214
-1042.009873,1000,228.783251
-1038.924752,1000,288.784624
-1016.676271,1000,302.480014
-751.406305,1000,358.617584
-769.015581,1000,371.619329
-800.67031,1000,425.109667
-143.70075,1000,437.919282
-780.645655,1000,497.70123
-320.118788,1000,510.810139
-1153.46836,1000,568.647203
-630.11164,1000,581.403683
-767.011165,1000,638.202193
-976.543211,1000,651.124124
-1137.389326,1000,710.00502
-987.455255,1000,722.48104
-1015.368981,1000,781.57145
-805.8114,1000,797.494786
-488.023124,1000,855.218531
-874.405057,1000,867.773109
-940.055942,1000,926.222825
-739.065319,1000,938.929982
-723.862854,1000,994.50735
-1078.323657,1000,1007.57233
-695.590097,1000,1060.872554
-1052.568513,1000,1074.309269
-1067.733261,1000,1132.571171
-1016.304622,1000,1145.230537
-900.891861,1000,1203.318805
-1102.031465,1000,1216.47271
-526.76572,1000,1276.285721
-197.70745,1000,1289.800547
-765.641073,1000,1344.381601
-1032.798013,1000,1356.029151
-1023.04413,1000,1412.331114
-1031.451388,1000,1424.919364
-1050.422589,1000,1487.853681
-817.89052,1000,1500.49386
-1064.937044,1000,1559.444394
-936.02094,1000,1571.448135
-1013.227496,1000,1630.512264
-494.499905,1000,1643.716553
-1126.627581,1000,1701.914466
-1227.688253,1000,1715.180304
-578.731112,1000,1774.27038
-919.897561,1000,1786.185402
-566.926144,1000,1844.858805
-1023.370213,1000,1855.010627
-928.386319,1000,1915.466783
-714.867422,1000,1928.105007
-612.621778,1000,1986.580134
-933.331427,1000,2000.44897
-1037.158278,1000,2064.696765
-1000.189718,1000,2078.292211
-973.637895,1000,2137.265081
-1057.535086,1000,2150.899832
-995.832553,1000,2206.452288
-1066.095111,1000,2219.845188
-923.74528,1000,2276.563991
-1026.270811,1000,2288.155797
-970.396583,1000,2346.256732
-778.241605,1000,2357.513783
-623.850882,1000,2412.861384
-1165.522274,1000,2426.261976
-996.847576,1000,2485.790071
-722.420921,1000,2498.630815
-764.826603,1000,2557.208591
-584.249078,1000,2569.306259
-736.724357,1000,2630.4078
-699.732284,1000,2642.326484
-1052.488623,1000,2705.171937
-753.854898,1000,2717.623427
-642.021818,1000,2770.914067
-580.56661,1000,2783.200712
-644.789631,1000,2830.784136
-548.807361,1000,2842.974103
-722.847256,1000,2899.487326
-656.215687,1000,2912.926175
-674.914969,1000,2966.474731
-586.466606,1000,2978.003753
-575.527147,1000,3035.651355
-598.544731,1000,3047.01882
-681.562504,1000,3101.864313
-760.204575,1000,3114.229994
-716.284865,1000,3170.535675
-726.428314,1000,3184.10515
-732.452909,1000,3241.104259
-737.734773,1000,3253.523535
-761.718166,1000,3316.424675
-627.797146,1000,3328.41051
-750.810982,1000,3383.938962
-761.472221,1000,3395.800946
-583.934333,1000,3450.927213
-630.239032,1000,3463.572431
-599.360487,1000,3525.410574
-580.109615,1000,3540.257797
-605.753516,1000,3604.122548
-699.556659,1000,3618.970262
-675.116655,1000,3684.496481
-677.229801,1000,3698.206036
-746.912265,1000,3761.856054
-600.08865,1000,3775.330008
-733.383017,1000,3838.379625
-621.905092,1000,3850.856997
-595.305923,1000,3914.691886
-773.405386,1000,3929.694748
-764.28476,1000,3993.157143
-769.589427,1000,4007.459667
-688.15399,1000,4069.063023
-154.749887,1000,4084.060626
-635.825783,1000,4146.283185
-608.668517,1000,4161.80767
-663.19252,1000,4223.502256
-577.662211,1000,4238.22332
-324.057137,1000,4304.173652
-595.007134,1000,4317.936745
-623.515435,1000,4384.185413
-735.32822,1000,4398.95626
-757.367895,1000,4459.198757
-758.929704,1000,4474.957335
-610.629946,1000,4538.338105
-720.356994,1000,4552.792573
-674.693589,1000,4616.14399
-546.326163,1000,4629.069261
-746.505537,1000,4691.214302
-648.016882,1000,4704.547062
-760.296608,1000,4768.155562
-712.496954,1000,4780.809459
-700.114185,1000,4844.664039
-578.636005,1000,4857.69469
-688.411265,1000,4918.726419
-718.245023,1000,4931.952836
-659.05551,1000,4993.306052
-733.940583,1000,5005.46284
-569.671992,1000,5071.530516
-757.727081,1000,5085.887336
-659.711469,1000,5148.395059
-618.224445,1000,5161.453797
-738.111484,1000,5223.303329
-777.410396,1000,5237.339468
-548.711768,1000,5301.886354
-579.15979,1000,5314.358137
-736.121912,1000,5377.348022
-575.437801,1000,5389.784902
-693.30959,1000,5454.498702
-676.324965,1000,5467.277263
-635.955408,1000,5532.352435
-775.491218,1000,5546.067424
-585.66042,1000,5610.335219
-710.358223,1000,5626.701538
-676.513263,1000,5688.81277
-617.759014,1000,5701.906987
-556.418865,1000,5765.950975
-731.826197,1000,5777.514737
-697.598076,1000,5841.689733
-565.714818,1000,5855.251618
-620.785045,1000,5922.42448
-609.074484,1000,5936.546391
-722.710615,1000,6001.732467
-548.448328,1000,6015.856158
-172.97561,1000,6083.50263
-765.355778,1000,6097.094784
-729.065913,1000,6157.680595
-731.716362,1000,6171.83769
-756.738018,1000,6236.227397
-708.474805,1000,6250.311949
-754.535258,1000,6311.952604
-658.709217,1000,6325.488814
-580.794093,1000,6390.297497
-643.563528,1000,6403.613321
-751.361852,1000,6467.612178
-670.068974,1000,6482.083758
-725.971504,1000,6547.019699
-590.081463,1000,6559.123265
-571.697869,1000,6622.43152
-648.355857,1000,6634.002616
-578.725495,1000,6697.023179
-765.80591,1000,6709.931795
-560.729487,1000,6776.954285
-578.436837,1000,6790.536364
-741.144324,1000,6853.336994
-623.505605,1000,6865.312036
-749.621889,1000,6928.155807
-601.16287,1000,6941.391906
-561.374435,1000,7003.562945
-753.24026,1000,7017.00096
-746.45771,1000,7078.190706
-573.50549,1000,7091.157505
-662.808701,1000,7153.731013
-557.126796,1000,7168.704587
-555.712963,1000,7232.590558
-592.716487,1000,7245.284979
-555.38567,1000,7307.663127
-655.02498,1000,7320.852681
-703.768953,1000,7382.329288
-730.513579,1000,7396.471807
-568.09639,1000,7458.121307
-529.695778,1000,7468.71208
-573.785334,1000,7528.750306
-712.701145,1000,7543.36902
-557.730524,1000,7601.042259
-559.839652,1000,7614.815021
-499.144467,1000,7677.128652
-747.198181,1000,7689.066441
-603.261559,1000,7749.164846
-574.519544,1000,7762.313707
-563.579792,1000,7820.312012
-767.81335,1000,7833.693858
-553.022667,1000,7892.14047
-572.300527,1000,7905.355924
-648.569006,1000,7962.303494
-733.026245,1000,7976.161491
-718.65176,1000,8034.528187
-619.542136,1000,8046.923391
