episodes,mean 100 episode reward,prob_satisfiability,steps
10,-760.3,0.0,8999
20,-676.8,0.0,18999
30,-532.1,0.0,28999
40,-475.6,0.0,38999
50,-431.4,0.0,48999
60,-411.2,0.0,58999
70,-386.3,0.0,68999
80,-367.2,0.0,78999
90,-378.3,0.0,88999
100,-389.3,0.0,98999
110,-352.7,0.0,108999
120,-333.0,0.0,118999
130,-349.3,0.0,128999
140,-367.0,0.0,138999
150,-381.6,0.0,148999
160,-389.6,0.0,158999
170,-407.4,0.0,168999
180,-449.4,0.0,178999
190,-461.2,0.0,188999
200,-470.5,0.0,198999
210,-479.2,0.0,208999
220,-479.2,0.0,218999
