episodes,mean 100 episode reward,prob_satisfiability,steps
10,-932.6,0.0,8999
20,-790.2,0.0,18999
30,-731.9,0.0,28999
40,-723.8,0.0,38999
50,-716.7,0.0,48999
60,-700.0,0.0,58999
70,-691.1,0.0,68999
80,-689.3,0.0,78999
90,-673.6,0.0,88999
100,-651.2,0.0,98999
110,-620.0,0.0,108999
120,-599.0,0.0,118999
130,-576.4,0.0,128999
140,-554.3,0.0,138999
150,-514.3,0.0,148999
160,-500.4,0.0,158999
170,-484.9,0.0,168999
180,-501.9,0.0,178999
190,-516.8,0.0,188999
200,-532.9,0.0,198999
210,-519.6,0.0,208999
220,-556.0,0.0,218999
230,-589.8,0.0,228999
240,-593.1,0.0,238999
250,-632.4,0.0,248999
260,-660.8,0.0,258999
270,-656.1,0.0,268999
280,-638.3,0.0,278999
290,-622.8,0.0,288999
300,-594.2,0.0,298999
310,-588.0,0.0,308999
320,-537.7,0.0,318999
330,-492.1,0.0,328999
340,-470.0,0.0,338999
350,-435.5,0.0,348999
360,-387.7,0.0,358999
370,-380.9,0.0,368999
380,-340.9,0.0,378999
390,-317.8,0.0,388999
400,-310.5,0.0,398999
410,-312.7,0.0,408999
420,-314.9,0.0,418999
