episodes,mean 100 episode reward,prob_satisfiability,steps
10,-960.0,0.0,8999
20,-935.4,0.0,18999
30,-845.3,0.0,28999
40,-802.5,0.0,38999
50,-781.9,0.0,48999
60,-763.0,0.0,58999
70,-750.4,0.0,68999
80,-738.1,0.0,78999
90,-727.9,0.0,88999
100,-722.9,0.0,98999
110,-695.5,0.0,108999
120,-673.7,0.0,118999
130,-674.3,0.0,128999
140,-672.5,0.0,138999
150,-670.9,0.0,148999
160,-671.8,0.0,158999
170,-670.1,0.0,168999
180,-672.8,0.0,178999
190,-673.9,0.0,188999
200,-675.8,0.0,198999
210,-673.7,0.0,208999
220,-671.8,0.0,218999
