episodes,mean 100 episode reward,prob_satisfiability,steps
10,-930.5,0.0,8999
20,-857.8,0.0,18999
30,-804.6,0.0,28999
40,-776.8,0.0,38999
50,-758.6,0.0,48999
60,-744.5,0.0,58999
70,-736.2,0.0,68999
80,-726.9,0.0,78999
90,-719.4,0.0,88999
100,-705.1,0.0,98999
110,-670.1,0.0,108999
120,-645.5,0.0,118999
130,-633.7,0.0,128999
140,-625.2,0.0,138999
150,-613.9,0.0,148999
160,-600.6,0.0,158999
170,-587.3,0.0,168999
180,-577.3,0.0,178999
190,-569.9,0.0,188999
200,-570.2,0.0,198999
210,-574.2,0.0,208999
220,-579.6,0.0,218999
