# {"t_start": 1621263908.8093114, "env_id": "Fetch-M2-v0"} 
r,l,t
-828.090962,1000,14.905087
-725.930226,1000,25.157185
-1021.517483,1000,83.637597
-1051.900373,1000,96.766115
-1240.415912,1000,150.378546
-938.229172,1000,162.742184
-590.286616,1000,221.248497
-714.374652,1000,233.063732
-727.018871,1000,288.650386
-924.071892,1000,301.875086
-1003.097479,1000,372.172204
-945.271654,1000,384.651996
-796.2748,1000,437.632141
-882.438856,1000,450.547881
-928.213259,1000,503.996165
-380.667265,1000,517.129856
-988.882103,1000,570.29756
-1064.391257,1000,582.76835
-1146.196972,1000,642.545729
-828.583588,1000,654.360026
-916.55065,1000,714.168034
-804.081361,1000,726.576901
-910.074089,1000,778.033753
-536.290664,1000,790.527986
-596.69808,1000,845.009357
-684.821311,1000,856.78649
-577.106843,1000,910.124119
-812.580173,1000,921.057388
-715.624654,1000,972.767949
-848.782788,1000,985.743156
-974.990442,1000,1044.399129
-869.154197,1000,1055.322341
-707.513855,1000,1109.077887
-765.081511,1000,1119.648381
-245.910725,1000,1177.915265
-552.202005,1000,1190.56933
-593.720823,1000,1247.099566
-713.709392,1000,1258.900357
-622.878406,1000,1315.376682
-684.416126,1000,1327.005122
-243.771525,1000,1381.519693
-754.960107,1000,1393.960433
-506.339031,1000,1445.049945
-438.942478,1000,1457.575189
-591.531281,1000,1514.506885
-729.825414,1000,1526.413522
-721.923551,1000,1584.717847
-570.171821,1000,1596.119783
-778.333394,1000,1653.459188
-535.127984,1000,1665.815137
-432.463902,1000,1720.611589
-447.484011,1000,1732.897351
-511.660833,1000,1789.478328
-398.406393,1000,1801.139972
-296.962359,1000,1862.924955
-617.39476,1000,1874.844439
-341.260946,1000,1932.426811
-684.268885,1000,1944.844466
-429.219178,1000,2006.916206
-276.67225,1000,2020.494461
-222.202476,1000,2077.811561
-76.773263,1000,2090.750475
-625.489043,1000,2148.675613
-130.572283,1000,2161.688655
-271.848784,1000,2217.454687
-398.124168,1000,2230.049341
-149.708463,1000,2286.879451
-248.553429,1000,2298.754148
-365.213713,1000,2357.045948
-217.147355,1000,2369.096717
-434.258045,1000,2425.103812
-382.35057,1000,2437.812821
-167.020429,1000,2494.419626
-239.879683,1000,2506.595803
-108.482388,1000,2564.691702
-338.641152,1000,2576.870142
-320.314384,1000,2634.579514
-349.053652,1000,2645.618363
-344.733349,1000,2708.283403
-290.359224,1000,2721.297263
-168.005647,1000,2780.848473
-188.195573,1000,2793.941843
