episodes,mean 100 episode reward,prob_satisfiability,steps
10,-725.5,0.0,8999
20,-723.5,0.0,18999
30,-692.0,0.0,28999
40,-695.6,0.0,38999
50,-692.6,0.0,48999
60,-694.0,0.0,58999
70,-693.6,0.0,68999
80,-696.2,0.0,78999
90,-689.9,0.0,88999
100,-687.9,0.0,98999
110,-685.8,0.0,108999
120,-683.0,0.0,118999
130,-685.1,0.0,128999
140,-688.2,0.0,138999
150,-693.9,0.0,148999
160,-690.2,0.0,158999
170,-675.2,0.0,168999
180,-639.5,0.0,178999
190,-626.9,0.0,188999
200,-601.6,0.0,198999
210,-597.3,0.0,208999
220,-578.6,0.0,218999
